endpoint,data_size,time
client,1048576,25455
server,1048576,24565
server,1048576,18770
client,1048576,23485
server,1048576,19096
client,1048576,19885
server,1048576,18679
client,1048576,19440
server,1048576,18692
client,1048576,19526
server,1048576,20743
client,1048576,21503
server,1048576,18874
client,1048576,19632
server,1048576,18583
client,1048576,19339
server,1048576,18743
client,1048576,19493
server,1048576,18591
client,1048576,19307
server,1048576,18825
client,1048576,19589
server,1048576,18533
client,1048576,19285
server,1048576,18805
client,1048576,19591
server,1048576,18532
client,1048576,19281
server,1048576,18702
client,1048576,19562
server,1048576,18546
client,1048576,19275
server,1048576,18657
client,1048576,19689
server,1048576,18646
client,1048576,19351
server,1048576,18902
client,1048576,19647
server,1048576,18599
client,1048576,19333
server,1048576,19103
client,1048576,19906
server,1048576,18595
client,1048576,19325
server,1048576,18784
client,1048576,19581
server,1048576,18639
client,1048576,19390
server,1048576,19079
client,1048576,19772
server,1048576,18475
client,1048576,19215
server,1048576,18731
client,1048576,19451
server,1048576,18651
client,1048576,19359
server,1048576,19106
client,1048576,19817
server,1048576,18610
client,1048576,19321
server,1048576,19176
client,1048576,19905
server,1048576,18802
client,1048576,19504
server,1048576,18893
client,1048576,19886
server,1048576,18601
client,1048576,19340
server,1048576,19261
client,1048576,19953
server,1048576,18540
client,1048576,19258
server,1048576,18611
client,1048576,19338
server,1048576,18470
client,1048576,19212
server,1048576,19116
client,1048576,19853
server,1048576,18543
client,1048576,19284
server,1048576,18887
client,1048576,19717
server,1048576,18673
client,1048576,19439
server,1048576,19139
client,1048576,19915
server,1048576,18554
client,1048576,19308
server,1048576,18977
client,1048576,19694
server,1048576,18598
client,1048576,19363
server,1048576,19232
client,1048576,20007
server,1048576,18642
client,1048576,19395
server,1048576,19150
client,1048576,19923
server,1048576,19067
client,1048576,19802
server,1048576,18678
client,1048576,19561
server,1048576,18535
client,1048576,19322
server,1048576,19195
client,1048576,19962
server,1048576,18575
client,1048576,19344
server,1048576,19217
client,1048576,20049
server,1048576,18601
client,1048576,19362
server,1048576,18952
client,1048576,19869
server,1048576,18654
client,1048576,19420
server,1048576,19310
client,1048576,20147
server,1048576,18711
client,1048576,19502
server,1048576,19268
client,1048576,20060
server,1048576,18713
client,1048576,19506
server,1048576,19073
client,1048576,19827
server,1048576,18620
client,1048576,19385
server,1048576,19161
client,1048576,19940
server,1048576,18698
client,1048576,19520
server,1048576,19260
client,1048576,20096
server,1048576,18600
client,1048576,19363
server,1048576,19300
client,1048576,20096
server,1048576,18542
client,1048576,19324
server,1048576,19301
client,1048576,20224
server,1048576,18614
client,1048576,19375
server,1048576,19053
client,1048576,19914
server,1048576,18550
client,1048576,19302
server,1048576,19315
client,1048576,20064
server,1048576,18691
client,1048576,19407
server,1048576,19193
client,1048576,19957
server,1048576,18581
client,1048576,19325
server,1048576,19121
client,1048576,19823
server,1048576,18608
client,1048576,19354
server,1048576,19250
client,1048576,20007
server,1048576,18529
client,1048576,19275
server,1048576,18932
client,1048576,19977
server,1048576,18670
client,1048576,19392
server,1048576,19077
client,1048576,19799
server,1048576,18570
client,1048576,19312
server,1048576,19112
client,1048576,19852
server,1048576,18667
client,1048576,19413
server,1048576,18881
client,1048576,19577
server,1048576,18631
client,1048576,19374
server,1048576,18904
client,1048576,19672
server,1048576,18524
client,1048576,19268
server,1048576,19200
client,1048576,19953
server,1048576,18580
client,1048576,19336
server,1048576,18951
client,1048576,19693
server,1048576,18632
client,1048576,19400
server,1048576,19019
client,1048576,19758
server,1048576,18768
client,1048576,19511
server,1048576,19230
client,1048576,19974
server,1048576,18656
client,1048576,19441
server,1048576,19241
client,1048576,19997
server,1048576,18833
client,1048576,19591
server,1048576,19241
client,1048576,20032
server,1048576,18557
client,1048576,19322
server,1048576,19309
client,1048576,20039
server,1048576,18872
client,1048576,19671
server,1048576,19270
client,1048576,20072
server,1048576,18619
client,1048576,19406
server,1048576,19012
client,1048576,19782
server,1048576,18537
client,1048576,19289
server,1048576,18710
client,1048576,19503
server,1048576,18589
client,1048576,19362
server,1048576,19289
client,1048576,20110
server,1048576,18688
client,1048576,19484
server,1048576,19272
client,1048576,20105
server,1048576,18818
client,1048576,19586
server,1048576,19386
client,1048576,20153
server,1048576,18848
client,1048576,19624
server,1048576,19181
client,1048576,20030
server,1048576,18643
client,1048576,19458
server,1048576,19081
client,1048576,19875
server,1048576,18604
client,1048576,19394
server,1048576,19094
client,1048576,19867
server,1048576,18492
client,1048576,19236
server,1048576,18940
client,1048576,19717
server,1048576,18514
client,1048576,19297
server,1048576,19088
client,1048576,19872
server,1048576,18701
client,1048576,19479
server,1048576,18969
client,1048576,19789
server,1048576,18613
client,1048576,19343
server,1048576,19065
client,1048576,19816
server,1048576,18604
client,1048576,19450
server,1048576,19156
client,1048576,19938
server,1048576,18540
client,1048576,19309
server,1048576,19277
client,1048576,20069
server,1048576,18604
client,1048576,19347
server,1048576,19224
client,1048576,19953
server,1048576,18596
client,1048576,19328
server,1048576,18856
client,1048576,19631
server,1048576,18639
client,1048576,19383
