endpoint,keylen,time
server,1024,6386
client,1024,672
client,1024,670
server,1024,3580
client,1024,722
server,1024,3657
server,1024,3360
client,1024,531
server,1024,3301
client,1024,549
client,2048,1608
server,2048,22982
client,2048,1542
server,2048,16995
client,2048,1508
server,2048,17178
client,2048,1481
server,2048,17094
server,2048,16758
client,2048,1487
client,4096,5016
server,4096,129742
client,4096,4755
server,4096,106214
client,4096,4869
server,4096,105274
server,4096,109049
client,4096,5012
client,4096,4980
server,4096,106064
client,8192,17019
server,8192,894167
server,8192,838565
client,8192,18609
server,8192,876220
client,8192,18600
client,8192,16233
server,8192,797684
server,8192,794771
client,8192,18628
