endpoint,min_input,max_input,time
server,32,8192,29880
client,32,8192,30388
server,32,8192,20963
client,32,8192,21506
server,32,8192,21035
client,32,8192,21699
server,32,8192,20890
client,32,8192,21339
server,32,8192,20848
client,32,8192,21300
server,32,8192,20921
client,32,8192,21371
server,32,8192,20891
client,32,8192,21352
server,32,8192,21513
client,32,8192,21989
server,32,8192,20856
client,32,8192,21346
server,32,8192,20658
client,32,8192,21129
server,32,8192,20692
client,32,8192,21130
server,32,8192,20859
client,32,8192,21314
server,32,8192,20577
client,32,8192,21027
server,32,8192,20879
client,32,8192,21330
server,32,8192,20666
client,32,8192,21121
server,32,8192,21042
client,32,8192,21555
server,32,8192,20892
client,32,8192,21332
server,32,8192,21459
client,32,8192,21931
server,32,8192,20874
client,32,8192,21320
server,32,8192,19973
client,32,8192,20380
server,32,8192,20319
client,32,8192,20745
server,32,8192,20489
client,32,8192,20920
server,32,8192,20545
client,32,8192,20976
server,32,8192,20982
client,32,8192,21487
server,32,8192,20918
client,32,8192,21418
server,32,8192,20842
client,32,8192,21347
server,32,8192,20596
client,32,8192,21146
server,32,8192,21086
client,32,8192,21528
server,32,8192,20860
client,32,8192,21316
server,32,8192,20938
client,32,8192,21381
server,32,8192,20912
client,32,8192,21368
server,32,8192,21056
client,32,8192,21515
server,32,8192,21089
client,32,8192,21614
server,32,8192,20361
client,32,8192,20792
server,32,8192,20667
client,32,8192,21096
server,32,8192,21102
client,32,8192,21527
server,32,8192,20683
client,32,8192,21124
server,32,8192,20339
client,32,8192,20754
server,32,8192,20592
client,32,8192,20995
server,32,8192,20562
client,32,8192,21017
server,32,8192,21156
client,32,8192,21615
server,32,8192,20446
client,32,8192,20886
server,32,8192,20950
client,32,8192,21464
server,32,8192,20885
client,32,8192,21327
server,32,8192,21211
client,32,8192,21634
server,32,8192,20366
client,32,8192,20781
server,32,8192,20659
client,32,8192,21137
server,32,8192,20423
client,32,8192,20890
server,32,8192,20702
client,32,8192,21153
server,32,8192,20410
client,32,8192,20860
server,32,8192,21133
client,32,8192,21609
server,32,8192,21476
client,32,8192,21940
server,32,8192,20843
client,32,8192,21284
server,32,8192,20476
client,32,8192,20916
server,32,8192,20986
client,32,8192,21407
server,32,8192,20882
client,32,8192,21366
server,32,8192,20920
client,32,8192,21410
server,32,8192,20992
client,32,8192,21469
server,32,8192,20683
client,32,8192,21167
server,32,8192,20406
