endpoint,operation,msglen,time
client,hash,4096,28
server,verify,4096,34
server,hash,4096,28
client,verify,4096,30
client,hash,4096,28
server,verify,4096,31
server,hash,4096,28
client,verify,4096,31
client,hash,4096,28
server,verify,4096,31
server,hash,4096,29
client,verify,4096,40
client,hash,4096,28
server,verify,4096,31
server,hash,4096,28
client,verify,4096,29
client,hash,4096,28
server,verify,4096,31
server,hash,4096,28
client,verify,4096,36
client,hash,8192,64
server,verify,8192,54
server,hash,8192,51
client,verify,8192,55
client,hash,8192,51
server,verify,8192,54
server,hash,8192,51
client,verify,8192,54
client,hash,8192,62
server,verify,8192,155
server,hash,8192,59
client,verify,8192,55
client,hash,8192,58
server,verify,8192,62
server,hash,8192,54
client,verify,8192,55
client,hash,8192,53
server,verify,8192,55
server,hash,8192,53
client,verify,8192,60
client,hash,16384,101
server,verify,16384,115
server,hash,16384,112
client,verify,16384,114
client,hash,16384,111
server,verify,16384,114
server,hash,16384,112
client,verify,16384,101
client,hash,16384,98
server,verify,16384,101
server,hash,16384,98
client,verify,16384,112
client,hash,16384,116
server,verify,16384,109
server,hash,16384,108
client,verify,16384,102
client,hash,16384,114
server,verify,16384,104
server,hash,16384,99
client,verify,16384,102
