endpoint,min_input,max_input,time
server,32,8192,77368
client,32,8192,77515
server,32,8192,26717
client,32,8192,26862
server,32,8192,21495
client,32,8192,28410
client,32,8192,24346
server,32,8192,18394
client,32,8192,18534
server,32,8192,18449
server,32,8192,18378
client,32,8192,18488
server,32,8192,18871
client,32,8192,23316
client,32,8192,25738
server,32,8192,21213
server,32,8192,18427
client,32,8192,18550
server,32,8192,19244
client,32,8192,23552
server,32,8192,18818
client,32,8192,19009
server,32,8192,18576
client,32,8192,18747
server,32,8192,18786
client,32,8192,18928
server,32,8192,18828
client,32,8192,19043
server,32,8192,19538
client,32,8192,19691
client,32,8192,18974
server,32,8192,18846
server,32,8192,18609
client,32,8192,18741
server,32,8192,18747
client,32,8192,18952
server,32,8192,18749
client,32,8192,18911
server,32,8192,18546
client,32,8192,18683
server,32,8192,18944
client,32,8192,23303
server,32,8192,18635
client,32,8192,18789
server,32,8192,18476
client,32,8192,18616
server,32,8192,18578
client,32,8192,18762
server,32,8192,18759
client,32,8192,18932
server,32,8192,18435
client,32,8192,18611
server,32,8192,18832
client,32,8192,18961
server,32,8192,18293
client,32,8192,18465
server,32,8192,18664
client,32,8192,23948
server,32,8192,18305
client,32,8192,18461
server,32,8192,18306
client,32,8192,23430
server,32,8192,18242
client,32,8192,18405
server,32,8192,18178
client,32,8192,23096
client,32,8192,18549
server,32,8192,18410
server,32,8192,18415
client,32,8192,18556
server,32,8192,18314
client,32,8192,18495
server,32,8192,18209
client,32,8192,18381
server,32,8192,18148
client,32,8192,18251
server,32,8192,18435
client,32,8192,23525
server,32,8192,18204
client,32,8192,18365
server,32,8192,18424
client,32,8192,22910
server,32,8192,18341
client,32,8192,18451
server,32,8192,18301
client,32,8192,23240
server,32,8192,18382
client,32,8192,18552
server,32,8192,18090
client,32,8192,18242
server,32,8192,18362
client,32,8192,22841
server,32,8192,18440
client,32,8192,18583
server,32,8192,18350
client,32,8192,18506
server,32,8192,18743
client,32,8192,23319
server,32,8192,18461
client,32,8192,18622
server,32,8192,18554
client,32,8192,23116
server,32,8192,18422
client,32,8192,18625
server,32,8192,19066
client,32,8192,19261
client,32,8192,18721
server,32,8192,18571
server,32,8192,18263
client,32,8192,18413
client,32,8192,18335
server,32,8192,18193
server,32,8192,18177
client,32,8192,18345
server,32,8192,18299
client,32,8192,18452
server,32,8192,18461
client,32,8192,24448
client,32,8192,19024
server,32,8192,18799
server,32,8192,18499
client,32,8192,18681
server,32,8192,18696
client,32,8192,18876
client,32,8192,19582
server,32,8192,19447
server,32,8192,18284
client,32,8192,18456
server,32,8192,18230
client,32,8192,18393
server,32,8192,18508
client,32,8192,18701
server,32,8192,18878
client,32,8192,19011
server,32,8192,18824
client,32,8192,19064
server,32,8192,18597
client,32,8192,18775
server,32,8192,18606
client,32,8192,18783
server,32,8192,18942
client,32,8192,19077
server,32,8192,18945
client,32,8192,19162
server,32,8192,18980
client,32,8192,19169
server,32,8192,18875
client,32,8192,19017
server,32,8192,18725
client,32,8192,23636
server,32,8192,20228
client,32,8192,20390
server,32,8192,20027
client,32,8192,26374
server,32,8192,18396
client,32,8192,18538
server,32,8192,18363
client,32,8192,23202
server,32,8192,18411
client,32,8192,18578
server,32,8192,18554
client,32,8192,18721
server,32,8192,18490
client,32,8192,18660
server,32,8192,18731
client,32,8192,23992
server,32,8192,18698
client,32,8192,18915
server,32,8192,18561
client,32,8192,18737
server,32,8192,18670
client,32,8192,18861
server,32,8192,18505
client,32,8192,18688
server,32,8192,18597
client,32,8192,18782
client,32,8192,18967
server,32,8192,18815
server,32,8192,18168
client,32,8192,18335
server,32,8192,18344
client,32,8192,18523
server,32,8192,18467
client,32,8192,23556
server,32,8192,18330
client,32,8192,18497
server,32,8192,18125
client,32,8192,18323
server,32,8192,18358
client,32,8192,23379
server,32,8192,18337
client,32,8192,18515
server,32,8192,18281
client,32,8192,23418
server,32,8192,18404
client,32,8192,18624
server,32,8192,18288
client,32,8192,18475
server,32,8192,18578
client,32,8192,18767
server,32,8192,18697
client,32,8192,18834
server,32,8192,18218
client,32,8192,18416
server,32,8192,18094
client,32,8192,23016
server,32,8192,18104
client,32,8192,18252
server,32,8192,18077
client,32,8192,23533
server,32,8192,18427
client,32,8192,18650
server,32,8192,18275
client,32,8192,18440
server,32,8192,18029
client,32,8192,18175
server,32,8192,18464
client,32,8192,23614
client,32,8192,18412
server,32,8192,18253
server,32,8192,18348
client,32,8192,18523
server,32,8192,18367
client,32,8192,18516
client,32,8192,18210
server,32,8192,18079
server,32,8192,18213
client,32,8192,18389
server,32,8192,18192
client,32,8192,18360
server,32,8192,18323
client,32,8192,18507
server,32,8192,18263
client,32,8192,23231
server,32,8192,18291
client,32,8192,18466
server,32,8192,18439
client,32,8192,23648
server,32,8192,18372
client,32,8192,18551
server,32,8192,18367
client,32,8192,18533
server,32,8192,18201
client,32,8192,18353
server,32,8192,18340
client,32,8192,23521
server,32,8192,18417
client,32,8192,18629
server,32,8192,18371
client,32,8192,18545
server,32,8192,18310
client,32,8192,18480
server,32,8192,18328
client,32,8192,18480
server,32,8192,18326
client,32,8192,18528
server,32,8192,18467
client,32,8192,18649
server,32,8192,18387
client,32,8192,24055
server,32,8192,18173
client,32,8192,18301
server,32,8192,18482
client,32,8192,18658
server,32,8192,18395
client,32,8192,23458
server,32,8192,18070
client,32,8192,18210
server,32,8192,18430
client,32,8192,23608
server,32,8192,18206
client,32,8192,18425
server,32,8192,18092
client,32,8192,23780
server,32,8192,18176
client,32,8192,18353
server,32,8192,18210
client,32,8192,18351
server,32,8192,18450
client,32,8192,18628
server,32,8192,18297
client,32,8192,24007
server,32,8192,18514
client,32,8192,18672
server,32,8192,18243
client,32,8192,23493
server,32,8192,18601
client,32,8192,18827
server,32,8192,18457
client,32,8192,18664
server,32,8192,18570
client,32,8192,18752
server,32,8192,18528
client,32,8192,18675
server,32,8192,20914
client,32,8192,26809
client,32,8192,18743
server,32,8192,18592
server,32,8192,18588
client,32,8192,18799
server,32,8192,18839
client,32,8192,19013
server,32,8192,18422
client,32,8192,18566
server,32,8192,18281
client,32,8192,23343
server,32,8192,18249
client,32,8192,23327
server,32,8192,18249
client,32,8192,18419
server,32,8192,18090
client,32,8192,18253
server,32,8192,18158
client,32,8192,23413
server,32,8192,18499
client,32,8192,18716
server,32,8192,18522
client,32,8192,23731
server,32,8192,18491
client,32,8192,18627
server,32,8192,18698
client,32,8192,24007
server,32,8192,18745
client,32,8192,23715
client,32,8192,18408
server,32,8192,18256
server,32,8192,18304
client,32,8192,18462
server,32,8192,18474
client,32,8192,18620
server,32,8192,18424
client,32,8192,18586
client,32,8192,23579
server,32,8192,18281
server,32,8192,18659
client,32,8192,18809
client,32,8192,23703
server,32,8192,18404
client,32,8192,18484
server,32,8192,18319
server,32,8192,18507
client,32,8192,18693
server,32,8192,18317
client,32,8192,18471
server,32,8192,18535
client,32,8192,18741
server,32,8192,18365
client,32,8192,23734
server,32,8192,18104
client,32,8192,18299
server,32,8192,18019
client,32,8192,23069
server,32,8192,18386
client,32,8192,23647
server,32,8192,18403
client,32,8192,18569
server,32,8192,18039
client,32,8192,18219
server,32,8192,18360
client,32,8192,23668
server,32,8192,18457
client,32,8192,18645
server,32,8192,18534
client,32,8192,23844
server,32,8192,18533
client,32,8192,18756
server,32,8192,18689
client,32,8192,18853
client,32,8192,18825
server,32,8192,18661
server,32,8192,18667
client,32,8192,18869
server,32,8192,18323
client,32,8192,18469
server,32,8192,18421
client,32,8192,24226
server,32,8192,18413
client,32,8192,18598
server,32,8192,18421
client,32,8192,18588
server,32,8192,18151
client,32,8192,23492
server,32,8192,18086
client,32,8192,23778
server,32,8192,18780
client,32,8192,18888
server,32,8192,18251
client,32,8192,23485
server,32,8192,18448
client,32,8192,18621
server,32,8192,19252
client,32,8192,24483
server,32,8192,18885
client,32,8192,25662
client,32,8192,24186
server,32,8192,18662
client,32,8192,18879
server,32,8192,18703
server,32,8192,18724
client,32,8192,18863
server,32,8192,18884
client,32,8192,24274
server,32,8192,18954
client,32,8192,24951
server,32,8192,26745
client,32,8192,33583
server,32,8192,18857
client,32,8192,24805
client,32,8192,30004
server,32,8192,23225
server,32,8192,19052
client,32,8192,19232
server,32,8192,18451
client,32,8192,24322
client,32,8192,23606
server,32,8192,18250
server,32,8192,18951
client,32,8192,19097
server,32,8192,18770
client,32,8192,23968
server,32,8192,18461
client,32,8192,18654
server,32,8192,18154
client,32,8192,18288
server,32,8192,18879
client,32,8192,24449
server,32,8192,18226
client,32,8192,18359
server,32,8192,18822
client,32,8192,18994
server,32,8192,18841
client,32,8192,19032
server,32,8192,18854
client,32,8192,24161
client,32,8192,23877
server,32,8192,18754
server,32,8192,19153
client,32,8192,19359
server,32,8192,18815
client,32,8192,19006
server,32,8192,19953
client,32,8192,20139
client,32,8192,31945
server,32,8192,26102
server,32,8192,18457
client,32,8192,18571
server,32,8192,18342
client,32,8192,24169
server,32,8192,18395
client,32,8192,23745
server,32,8192,18524
client,32,8192,23937
server,32,8192,18792
client,32,8192,24519
server,32,8192,18401
client,32,8192,23956
server,32,8192,18429
client,32,8192,18586
server,32,8192,18697
client,32,8192,18855
server,32,8192,18875
client,32,8192,19029
server,32,8192,18945
client,32,8192,19133
server,32,8192,19024
client,32,8192,24475
server,32,8192,18932
client,32,8192,24279
server,32,8192,18802
client,32,8192,18989
server,32,8192,19180
client,32,8192,19378
server,32,8192,18635
client,32,8192,24114
server,32,8192,19169
client,32,8192,19338
server,32,8192,19053
client,32,8192,24514
server,32,8192,18389
client,32,8192,23768
client,32,8192,18425
server,32,8192,18267
server,32,8192,18965
client,32,8192,19131
client,32,8192,18947
server,32,8192,18816
server,32,8192,18926
client,32,8192,19108
server,32,8192,19198
client,32,8192,19387
server,32,8192,18946
client,32,8192,24478
server,32,8192,18811
client,32,8192,24337
server,32,8192,18426
client,32,8192,18605
server,32,8192,19568
client,32,8192,25128
server,32,8192,18641
client,32,8192,24059
server,32,8192,18896
client,32,8192,19105
server,32,8192,18907
client,32,8192,19059
server,32,8192,18672
client,32,8192,24247
server,32,8192,19074
client,32,8192,24543
server,32,8192,18791
client,32,8192,18934
server,32,8192,18946
client,32,8192,24132
server,32,8192,18901
client,32,8192,24392
server,32,8192,18662
client,32,8192,23939
server,32,8192,19240
client,32,8192,24926
server,32,8192,18295
client,32,8192,23696
client,32,8192,18371
server,32,8192,18231
server,32,8192,18317
client,32,8192,18462
server,32,8192,18533
client,32,8192,24792
server,32,8192,18270
client,32,8192,23679
server,32,8192,18417
client,32,8192,23961
server,32,8192,18987
client,32,8192,19139
server,32,8192,19040
client,32,8192,19204
client,32,8192,19083
server,32,8192,18903
server,32,8192,18964
client,32,8192,19202
server,32,8192,18454
client,32,8192,18571
server,32,8192,18512
client,32,8192,24093
server,32,8192,18561
client,32,8192,23892
server,32,8192,19069
client,32,8192,24518
server,32,8192,18577
client,32,8192,24135
client,32,8192,18739
server,32,8192,18615
server,32,8192,18762
client,32,8192,18957
server,32,8192,18696
client,32,8192,24374
server,32,8192,18690
client,32,8192,18882
server,32,8192,18840
client,32,8192,24226
server,32,8192,19255
client,32,8192,19399
server,32,8192,18720
client,32,8192,24325
server,32,8192,18364
client,32,8192,23944
server,32,8192,18663
client,32,8192,18845
server,32,8192,18965
client,32,8192,19114
server,32,8192,19068
client,32,8192,24820
server,32,8192,18828
client,32,8192,19029
server,32,8192,18433
client,32,8192,24062
server,32,8192,18209
client,32,8192,23938
server,32,8192,18592
client,32,8192,24124
server,32,8192,18980
client,32,8192,19208
server,32,8192,19082
client,32,8192,24699
server,32,8192,18917
client,32,8192,24442
client,32,8192,18698
server,32,8192,18536
server,32,8192,19378
client,32,8192,19562
server,32,8192,22446
client,32,8192,29097
server,32,8192,18661
client,32,8192,27244
client,32,8192,24371
server,32,8192,18719
server,32,8192,18465
client,32,8192,18629
server,32,8192,18538
client,32,8192,24408
server,32,8192,18807
client,32,8192,18971
server,32,8192,18494
client,32,8192,24019
server,32,8192,18570
client,32,8192,18742
server,32,8192,18884
client,32,8192,24630
client,32,8192,18969
server,32,8192,18797
server,32,8192,18867
client,32,8192,19032
server,32,8192,18647
client,32,8192,24275
client,32,8192,18908
server,32,8192,18731
server,32,8192,19126
client,32,8192,19288
server,32,8192,18468
client,32,8192,18614
client,32,8192,19123
server,32,8192,18915
server,32,8192,19169
client,32,8192,19376
server,32,8192,18997
client,32,8192,19132
server,32,8192,18535
client,32,8192,24210
server,32,8192,18550
client,32,8192,18754
server,32,8192,18380
client,32,8192,23896
client,32,8192,18405
server,32,8192,18266
server,32,8192,18874
client,32,8192,19029
client,32,8192,19366
server,32,8192,19165
server,32,8192,18588
client,32,8192,18825
server,32,8192,18917
client,32,8192,19082
server,32,8192,19089
client,32,8192,24595
server,32,8192,18946
client,32,8192,24531
server,32,8192,18910
client,32,8192,19072
server,32,8192,18582
client,32,8192,24284
server,32,8192,18686
client,32,8192,24278
server,32,8192,18539
client,32,8192,24125
server,32,8192,18595
client,32,8192,24438
server,32,8192,18345
client,32,8192,23914
server,32,8192,18281
client,32,8192,18433
server,32,8192,18516
client,32,8192,18711
server,32,8192,18194
client,32,8192,23872
server,32,8192,18298
client,32,8192,23812
server,32,8192,18421
client,32,8192,18572
server,32,8192,18454
client,32,8192,18599
server,32,8192,18783
client,32,8192,24297
server,32,8192,19023
client,32,8192,19200
server,32,8192,18675
client,32,8192,18824
server,32,8192,18935
client,32,8192,19111
server,32,8192,18959
client,32,8192,24678
server,32,8192,18776
client,32,8192,24349
server,32,8192,18881
client,32,8192,24643
server,32,8192,18697
client,32,8192,24246
client,32,8192,18560
server,32,8192,18435
client,32,8192,18519
server,32,8192,18388
server,32,8192,18584
client,32,8192,18769
server,32,8192,18842
client,32,8192,24430
server,32,8192,18766
client,32,8192,18915
server,32,8192,18976
client,32,8192,19158
server,32,8192,18938
client,32,8192,24526
client,32,8192,18844
server,32,8192,18681
server,32,8192,18182
client,32,8192,18332
server,32,8192,18465
client,32,8192,18660
server,32,8192,18767
client,32,8192,24520
client,32,8192,18914
server,32,8192,18746
client,32,8192,19037
server,32,8192,18890
server,32,8192,18671
client,32,8192,18863
server,32,8192,18825
client,32,8192,24396
server,32,8192,18710
client,32,8192,24196
server,32,8192,18598
client,32,8192,18747
server,32,8192,18816
client,32,8192,19008
server,32,8192,19053
client,32,8192,24716
server,32,8192,19072
client,32,8192,24833
server,32,8192,18712
client,32,8192,24967
client,32,8192,24888
server,32,8192,19390
server,32,8192,18338
client,32,8192,18525
server,32,8192,18080
client,32,8192,23635
server,32,8192,21027
client,32,8192,26651
server,32,8192,21172
client,32,8192,27132
server,32,8192,18153
client,32,8192,18313
server,32,8192,18741
client,32,8192,24239
server,32,8192,18677
client,32,8192,24381
server,32,8192,18111
client,32,8192,23787
client,32,8192,18376
