endpoint,keylen,time
client,2048,1441
server,2048,23111
client,2048,1489
server,2048,16759
client,2048,1544
server,2048,16925
client,2048,1383
server,2048,16516
client,2048,1461
server,2048,16666
client,2048,1517
server,2048,16674
server,2048,16577
client,2048,1607
client,2048,1482
server,2048,16427
client,2048,1557
server,2048,16518
client,2048,1464
server,2048,16438
client,2048,1520
server,2048,16485
client,2048,1580
server,2048,16573
client,2048,1537
server,2048,16481
client,2048,1529
server,2048,16447
client,2048,1452
server,2048,16685
client,2048,1494
server,2048,16606
server,2048,16560
client,2048,1582
client,2048,1389
server,2048,16514
client,2048,1568
server,2048,16468
client,2048,1529
server,2048,16467
client,2048,1467
server,2048,16446
client,2048,1461
server,2048,16346
client,2048,1558
server,2048,16669
client,2048,1530
server,2048,16524
client,2048,1405
server,2048,16492
client,2048,1517
server,2048,16410
client,2048,1547
server,2048,16578
client,2048,1582
server,2048,16468
client,2048,1510
server,2048,16378
client,2048,1535
server,2048,16488
client,2048,1533
server,2048,16520
client,2048,1503
server,2048,16435
client,2048,1599
server,2048,16548
client,2048,1366
server,2048,16245
client,2048,1525
server,2048,16538
client,2048,1391
server,2048,16617
client,2048,1481
server,2048,16886
client,2048,1549
server,2048,16782
client,2048,1426
server,2048,16497
client,2048,1409
server,2048,16368
client,2048,1461
server,2048,16558
client,2048,1550
server,2048,16557
server,2048,16702
client,2048,1600
client,2048,1456
server,2048,16414
client,2048,1552
server,2048,16614
client,2048,1394
server,2048,16666
client,2048,1395
server,2048,16798
client,2048,1465
server,2048,16483
client,2048,1513
server,2048,16467
client,2048,1391
server,2048,16301
client,2048,1421
server,2048,16256
client,2048,1577
server,2048,16540
client,2048,1518
server,2048,16497
client,2048,1579
server,2048,16462
client,2048,1437
server,2048,16667
client,2048,1386
server,2048,16302
client,2048,1504
server,2048,16710
client,2048,1441
server,2048,16339
client,2048,1515
server,2048,16762
client,2048,1572
server,2048,17189
client,2048,1858
server,2048,19152
client,2048,1437
server,2048,16929
client,2048,1473
server,2048,17183
client,2048,2013
server,2048,17438
client,2048,1488
server,2048,16994
client,2048,1500
server,2048,16477
client,2048,1468
server,2048,16467
client,2048,1508
server,2048,16479
client,2048,1542
server,2048,16560
client,2048,1543
server,2048,16608
client,2048,1559
server,2048,16626
client,2048,1357
server,2048,16686
client,2048,1398
server,2048,16611
client,2048,1388
server,2048,16505
client,2048,1545
server,2048,16749
client,2048,1490
server,2048,16459
client,2048,1529
server,2048,16783
client,2048,1453
server,2048,16670
client,2048,1480
server,2048,16431
client,2048,1568
server,2048,16592
client,2048,1521
server,2048,16395
client,2048,1367
server,2048,16502
client,2048,1438
server,2048,16289
client,2048,1375
server,2048,16344
client,2048,1364
server,2048,16302
client,2048,1582
server,2048,16562
client,2048,1367
server,2048,16257
server,2048,16849
client,2048,1542
client,2048,1472
server,2048,16410
client,2048,1512
server,2048,16395
client,2048,1502
server,2048,16490
client,2048,1604
server,2048,16607
client,2048,1513
server,2048,16394
client,2048,1377
server,2048,16382
client,2048,1506
server,2048,16855
client,2048,1540
server,2048,16618
client,2048,1466
server,2048,16460
client,2048,2286
server,2048,17160
client,2048,1533
server,2048,16540
client,2048,1520
server,2048,16493
client,2048,1675
server,2048,17614
client,2048,1534
server,2048,16534
client,2048,1404
server,2048,16330
client,2048,1470
server,2048,16597
client,2048,1634
server,2048,17054
client,2048,1384
server,2048,16408
client,2048,1569
server,2048,16655
client,2048,1568
server,2048,16483
client,2048,1551
server,2048,16480
client,2048,1440
server,2048,16742
client,2048,1497
server,2048,16488
client,2048,1542
server,2048,16769
client,2048,1439
server,2048,16334
client,2048,1445
server,2048,16641
client,2048,1378
server,2048,17026
client,2048,1967
server,2048,17751
client,2048,1508
server,2048,17568
client,2048,1616
server,2048,17231
server,2048,17082
client,2048,1424
client,2048,1429
server,2048,16791
server,2048,16500
client,2048,1425
client,2048,1479
server,2048,16371
client,2048,1510
server,2048,16599
client,2048,1462
server,2048,16372
client,2048,1430
server,2048,16417
client,2048,1420
server,2048,16429
client,2048,1462
server,2048,16472
client,2048,1380
server,2048,16525
client,2048,1468
