sec_lvl,test_id,operation,cycles,time
1,0,parse_server_dh_params,20744,8
1,0,rsa_verify_with_sha512,4968188,1917
1,0,dhm_make_public,455584914,175697
1,0,dhm_calc_secret,472058243,182051
1,0,sha256_hash_master_secret,0,0
1,0,sha256_hash_key_expansion,0,0
1,0,rsa_sign_with_sha256,191910523,74012
1,1,parse_server_dh_params,23337,9
1,1,rsa_verify_with_sha512,5027827,1940
1,1,dhm_make_public,466389945,179865
1,1,dhm_calc_secret,467105613,180142
1,1,sha256_hash_master_secret,62232,24
1,1,sha256_hash_key_expansion,134836,51
1,1,rsa_sign_with_sha256,146460419,56482
1,2,parse_server_dh_params,23337,9
1,2,rsa_verify_with_sha512,4968188,1916
1,2,dhm_make_public,469275954,180977
1,2,dhm_calc_secret,469506731,181068
1,2,sha256_hash_master_secret,62232,24
1,2,sha256_hash_key_expansion,132243,52
1,2,rsa_sign_with_sha256,159135003,61372
1,3,parse_server_dh_params,20744,8
1,3,rsa_verify_with_sha512,4973374,1919
1,3,dhm_make_public,467787572,180404
1,3,dhm_calc_secret,452307362,174434
1,3,sha256_hash_master_secret,0,0
1,3,sha256_hash_key_expansion,0,0
1,3,rsa_sign_with_sha256,172367082,66475
1,4,parse_server_dh_params,23337,9
1,4,rsa_verify_with_sha512,5017455,1936
1,4,dhm_make_public,449302075,173275
1,4,dhm_calc_secret,468122069,180535
1,4,sha256_hash_master_secret,64825,25
1,4,sha256_hash_key_expansion,134836,51
1,4,rsa_sign_with_sha256,142425711,54926
1,5,parse_server_dh_params,18151,7
1,5,rsa_verify_with_sha512,4965595,1916
1,5,dhm_make_public,474005586,182804
1,5,dhm_calc_secret,474311560,182922
1,5,sha256_hash_master_secret,64825,25
1,5,sha256_hash_key_expansion,134836,51
1,5,rsa_sign_with_sha256,161139392,62144
1,6,parse_server_dh_params,20744,8
1,6,rsa_verify_with_sha512,4973374,1919
1,6,dhm_make_public,476632295,183817
1,6,dhm_calc_secret,473492172,182605
1,6,sha256_hash_master_secret,85569,34
1,6,sha256_hash_key_expansion,134836,51
1,6,rsa_sign_with_sha256,161424622,62254
1,7,parse_server_dh_params,20744,9
1,7,rsa_verify_with_sha512,4981153,1921
