operation,msglen,cycles,time
encrypt,512,28523,11
decrypt,512,0,1
encrypt,512,23337,9
decrypt,512,23337,9
encrypt,512,25930,9
decrypt,512,23337,10
encrypt,512,25930,9
decrypt,512,23337,9
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,25930,11
encrypt,512,23337,9
decrypt,512,23337,9
encrypt,512,23337,10
decrypt,512,25930,11
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,23337,10
encrypt,512,25930,9
decrypt,512,85569,32
encrypt,512,25930,9
decrypt,512,23337,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,54453,20
encrypt,512,23337,9
decrypt,512,5186,3
encrypt,512,23337,9
decrypt,512,15558,6
encrypt,512,23337,9
decrypt,512,12965,6
encrypt,512,23337,9
decrypt,512,18151,7
encrypt,512,25930,9
decrypt,512,12965,6
encrypt,512,23337,9
decrypt,512,18151,7
encrypt,512,25930,9
decrypt,512,15558,6
encrypt,512,23337,9
decrypt,512,10372,4
encrypt,512,23337,9
decrypt,512,18151,7
encrypt,512,25930,9
decrypt,512,15558,6
encrypt,1024,44081,18
decrypt,1024,44081,17
encrypt,1024,44081,16
decrypt,1024,44081,17
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,16
decrypt,1024,46674,18
encrypt,1024,67418,27
decrypt,1024,44081,17
encrypt,1024,44081,16
decrypt,1024,44081,17
encrypt,1024,41488,17
decrypt,1024,44081,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,44081,17
encrypt,1024,41488,16
decrypt,1024,44081,17
encrypt,1024,41488,16
decrypt,1024,46674,17
encrypt,1024,41488,16
decrypt,1024,44081,18
encrypt,1024,44081,16
decrypt,1024,44081,17
encrypt,1024,41488,17
decrypt,1024,44081,17
encrypt,1024,44081,16
decrypt,1024,72604,27
encrypt,1024,46674,18
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,18151,8
encrypt,1024,44081,17
decrypt,1024,18151,8
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,18
decrypt,1024,129650,27
encrypt,1024,44081,17
decrypt,1024,18151,7
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,2048,85569,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,32
encrypt,2048,82976,33
decrypt,2048,85569,33
encrypt,2048,82976,33
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,85569,32
encrypt,2048,108906,42
decrypt,2048,82976,32
encrypt,2048,80383,31
decrypt,2048,106313,32
encrypt,2048,82976,31
decrypt,2048,82976,32
encrypt,2048,82976,31
decrypt,2048,137429,52
encrypt,2048,82976,31
decrypt,2048,82976,32
encrypt,2048,181510,71
decrypt,2048,82976,31
encrypt,2048,197068,77
decrypt,2048,82976,32
encrypt,2048,80383,31
decrypt,2048,0,0
encrypt,2048,80383,31
decrypt,2048,85569,32
encrypt,2048,82976,31
decrypt,2048,85569,32
encrypt,2048,147801,58
decrypt,2048,108906,41
encrypt,2048,82976,31
decrypt,2048,85569,32
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,220405,86
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,85569,33
