sec_lvl,test_id,operation,cycles,time
1,0,get_ecdh_params_from_cert,10372,4
1,0,ecdh_read_public,18151,7
1,0,ecdh_calc_secret,57414206,22142
1,0,sha256_hash_master_secret,0,0
1,0,sha256_hash_key_expansion,0,0
1,0,ecdsa_verify_with_sha256,105573995,40715
1,1,get_ecdh_params_from_cert,12965,5
1,1,ecdh_read_public,15558,6
1,1,ecdh_calc_secret,9907853,3821
1,1,sha256_hash_master_secret,0,0
1,1,sha256_hash_key_expansion,0,0
1,1,ecdsa_verify_with_sha256,0,0
1,2,get_ecdh_params_from_cert,15558,5
1,2,ecdh_read_public,12965,5
1,2,ecdh_calc_secret,40341894,15557
1,2,sha256_hash_master_secret,0,0
1,2,sha256_hash_key_expansion,0,0
1,2,ecdsa_verify_with_sha256,111299339,42923
1,3,get_ecdh_params_from_cert,12965,6
1,3,ecdh_read_public,10372,3
1,3,ecdh_calc_secret,37393653,14420
1,3,sha256_hash_master_secret,0,0
1,3,sha256_hash_key_expansion,0,0
1,3,ecdsa_verify_with_sha256,111335641,42937
1,4,get_ecdh_params_from_cert,12965,5
1,4,ecdh_read_public,10372,3
1,4,ecdh_calc_secret,10050468,3875
1,4,sha256_hash_master_secret,0,0
1,4,sha256_hash_key_expansion,0,0
1,4,ecdsa_verify_with_sha256,0,0
1,5,get_ecdh_params_from_cert,10372,4
1,5,ecdh_read_public,7779,3
1,5,ecdh_calc_secret,38085984,14688
1,5,sha256_hash_master_secret,0,0
1,5,sha256_hash_key_expansion,0,0
1,5,ecdsa_verify_with_sha256,111276002,42914
1,6,get_ecdh_params_from_cert,10372,4
1,6,ecdh_read_public,10372,3
1,6,ecdh_calc_secret,54468558,21007
1,6,sha256_hash_master_secret,46674,19
1,6,sha256_hash_key_expansion,132243,52
1,6,ecdsa_verify_with_sha256,89515546,34522
1,7,get_ecdh_params_from_cert,12965,4
1,7,ecdh_read_public,7779,4
1,7,ecdh_calc_secret,48043104,18528
1,7,sha256_hash_master_secret,0,0
1,7,sha256_hash_key_expansion,0,0
1,7,ecdsa_verify_with_sha256,111436768,42976
1,8,get_ecdh_params_from_cert,12965,4
1,8,ecdh_read_public,7779,4
1,8,ecdh_calc_secret,45066340,17380
