operation,msglen,cycles,time
encrypt,512,75197,28
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,25930,10
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,25930,11
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,10
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,90755,35
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,10
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,25930,10
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,25930,10
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,33709,12
encrypt,512,25930,9
decrypt,512,72604,29
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,25930,10
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,25930,10
decrypt,512,25930,11
encrypt,1024,44081,18
decrypt,1024,46674,19
encrypt,1024,44081,17
decrypt,1024,46674,19
encrypt,1024,46674,17
decrypt,1024,95941,37
encrypt,1024,46674,17
decrypt,1024,46674,18
encrypt,1024,44081,18
decrypt,1024,44081,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,18
decrypt,1024,46674,18
encrypt,1024,41488,17
decrypt,1024,72604,27
encrypt,1024,46674,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,19
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,16
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,44081,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,16
decrypt,1024,44081,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,88162,35
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,44081,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,16
decrypt,1024,44081,18
encrypt,1024,44081,16
decrypt,1024,44081,18
encrypt,1024,46674,17
decrypt,1024,46674,18
encrypt,1024,59639,23
decrypt,1024,44081,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,44081,18
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,44081,18
encrypt,1024,41488,17
decrypt,1024,44081,18
encrypt,1024,44081,16
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,44081,16
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,44081,18
encrypt,1024,44081,16
decrypt,1024,44081,18
encrypt,1024,116685,45
decrypt,1024,44081,18
encrypt,1024,41488,17
decrypt,1024,44081,18
encrypt,2048,82976,32
decrypt,2048,85569,32
encrypt,2048,82976,31
decrypt,2048,85569,33
encrypt,2048,82976,31
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,108906,42
encrypt,2048,82976,31
decrypt,2048,82976,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,32
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,152987,59
decrypt,2048,85569,33
encrypt,2048,88162,35
decrypt,2048,85569,32
