sec_lvl,test_id,operation,cycles,time
1,0,parse_server_psk_hint,5186,3
1,0,parse_server_ecdh_params,18151,7
1,0,ecdh_make_public,52803852,20363
1,0,ecdh_calc_secret,27501358,10606
1,0,psk_derive_premaster,0,0
1,0,sha256_hash_master_secret,0,0
1,0,sha256_hash_key_expansion,0,0
1,1,parse_server_psk_hint,7779,3
1,1,parse_server_ecdh_params,15558,7
1,1,ecdh_make_public,47177042,18193
1,1,ecdh_calc_secret,55295725,21325
1,1,psk_derive_premaster,0,0
1,1,sha256_hash_master_secret,57046,22
1,1,sha256_hash_key_expansion,134836,52
1,2,parse_server_psk_hint,2593,2
1,2,parse_server_ecdh_params,10372,4
1,2,ecdh_make_public,42120692,16244
1,2,ecdh_calc_secret,55562804,21428
1,2,psk_derive_premaster,0,0
1,2,sha256_hash_master_secret,51860,20
1,2,sha256_hash_key_expansion,132243,51
1,3,parse_server_psk_hint,5186,2
1,3,parse_server_ecdh_params,12965,5
1,3,ecdh_make_public,54237781,20918
1,3,ecdh_calc_secret,53579159,20664
1,3,psk_derive_premaster,2593,1
1,3,sha256_hash_master_secret,51860,20
1,3,sha256_hash_key_expansion,132243,51
1,4,parse_server_psk_hint,7779,2
1,4,parse_server_ecdh_params,15558,6
1,4,ecdh_make_public,60320959,23264
1,4,ecdh_calc_secret,52972397,20429
1,4,psk_derive_premaster,0,0
1,4,sha256_hash_master_secret,0,0
1,4,sha256_hash_key_expansion,0,0
1,5,parse_server_psk_hint,5186,3
1,5,parse_server_ecdh_params,15558,7
1,5,ecdh_make_public,44047291,16987
1,5,ecdh_calc_secret,55601699,21443
1,5,psk_derive_premaster,0,0
1,5,sha256_hash_master_secret,54453,22
1,5,sha256_hash_key_expansion,137429,53
1,6,parse_server_psk_hint,5186,2
1,6,parse_server_ecdh_params,12965,4
1,6,ecdh_make_public,53589531,20668
1,6,ecdh_calc_secret,51813326,19982
1,6,psk_derive_premaster,2593,1
1,6,sha256_hash_master_secret,51860,20
1,6,sha256_hash_key_expansion,132243,51
1,7,parse_server_psk_hint,5186,2
1,7,parse_server_ecdh_params,10372,5
1,7,ecdh_make_public,42709303,16471
1,7,ecdh_calc_secret,64602002,24914
1,7,psk_derive_premaster,0,0
1,7,sha256_hash_master_secret,51860,20
1,7,sha256_hash_key_expansion,134836,52
1,8,parse_server_psk_hint,5186,2
1,8,parse_server_ecdh_params,15558,6
1,8,ecdh_make_public,72256538,27868
1,8,ecdh_calc_secret,56540365,21807
1,8,psk_derive_premaster,2593,1
1,8,sha256_hash_master_secret,57046,22
1,8,sha256_hash_key_expansion,137429,53
1,9,parse_server_psk_hint,5186,2
1,9,parse_server_ecdh_params,12965,6
1,9,ecdh_make_public,49959331,19267
1,9,ecdh_calc_secret,0,0
1,9,psk_derive_premaster,0,0
1,9,sha256_hash_master_secret,54453,20
1,9,sha256_hash_key_expansion,158173,62
1,10,parse_server_psk_hint,2593,1
1,10,parse_server_ecdh_params,10372,4
1,10,ecdh_make_public,45963518,17726
1,10,ecdh_calc_secret,55352771,21347
1,10,psk_derive_premaster,0,0
1,10,sha256_hash_master_secret,54453,20
1,10,sha256_hash_key_expansion,132243,52
1,11,parse_server_psk_hint,5186,2
1,11,parse_server_ecdh_params,10372,5
1,11,ecdh_make_public,42932301,16556
1,11,ecdh_calc_secret,55663931,21467
1,11,psk_derive_premaster,0,0
1,11,sha256_hash_master_secret,51860,20
1,11,sha256_hash_key_expansion,132243,51
1,12,parse_server_psk_hint,7779,2
1,12,parse_server_ecdh_params,18151,6
1,12,ecdh_make_public,5626810,2170
1,12,ecdh_calc_secret,0,0
1,12,psk_derive_premaster,0,0
1,12,sha256_hash_master_secret,0,0
1,12,sha256_hash_key_expansion,102039736,39353
1,13,parse_server_psk_hint,5186,1
1,13,parse_server_ecdh_params,10372,4
1,13,ecdh_make_public,32160979,12403
1,13,ecdh_calc_secret,77030251,29709
1,13,psk_derive_premaster,2593,1
1,13,sha256_hash_master_secret,51860,21
1,13,sha256_hash_key_expansion,134836,51
1,14,parse_server_psk_hint,5186,2
1,14,parse_server_ecdh_params,10372,3
1,14,ecdh_make_public,55015681,21219
1,14,ecdh_calc_secret,53701030,20710
1,14,psk_derive_premaster,2593,1
1,14,sha256_hash_master_secret,51860,21
1,14,sha256_hash_key_expansion,132243,51
1,15,parse_server_psk_hint,2593,2
1,15,parse_server_ecdh_params,10372,4
1,15,ecdh_make_public,53872168,20777
1,15,ecdh_calc_secret,52925723,20411
1,15,psk_derive_premaster,2593,1
1,15,sha256_hash_master_secret,54453,21
1,15,sha256_hash_key_expansion,137429,53
1,16,parse_server_psk_hint,5186,1
1,16,parse_server_ecdh_params,10372,4
1,16,ecdh_make_public,51097658,19706
1,16,ecdh_calc_secret,54445221,20997
1,16,psk_derive_premaster,0,0
1,16,sha256_hash_master_secret,0,0
1,16,sha256_hash_key_expansion,0,0
1,17,parse_server_psk_hint,7779,2
1,17,parse_server_ecdh_params,15558,7
1,17,ecdh_make_public,55101250,21252
1,17,ecdh_calc_secret,53210953,20521
1,17,psk_derive_premaster,2593,1
1,17,sha256_hash_master_secret,54453,20
1,17,sha256_hash_key_expansion,132243,52
1,18,parse_server_psk_hint,2593,2
1,18,parse_server_ecdh_params,7779,4
