sec_lvl,test_id,cycles,time
1,0,23337,9
1,0,5186,1
1,0,596390,231
1,0,60938093,23500
1,0,7779,2
1,0,2593,0
1,0,55959533,21580
1,1,7779,1
1,1,0,1
1,1,41488,16
1,1,64192308,24755
1,1,7779,1
1,1,2593,1
1,1,55822104,21526
1,2,5186,2
1,2,2593,1
1,2,36302,15
1,2,55949161,21577
1,2,2593,1
1,2,2593,1
1,2,10213827,3938
1,3,5186,2
1,3,2593,1
1,3,33709,14
1,3,58500673,22561
1,3,5186,1
1,3,2593,1
1,3,55262016,21311
1,4,2593,0
1,4,2593,0
1,4,121871,47
1,4,83281974,32118
1,4,7779,1
1,4,2593,1
1,4,56291437,21709
1,5,2593,1
1,5,2593,1
1,5,31116,12
1,5,57785005,22285
1,5,5186,2
1,5,2593,1
1,5,56055474,21617
1,6,5186,2
1,6,2593,1
1,6,38895,15
1,6,56377006,21741
1,6,5186,2
1,6,2593,1
1,6,54266304,20927
1,7,5186,1
1,7,0,1
1,7,36302,14
1,7,57751296,22271
1,7,5186,1
1,7,2593,1
1,7,55586141,21436
1,8,7779,2
1,8,2593,0
1,8,38895,15
1,8,57377904,22127
1,8,7779,2
1,8,2593,1
1,8,56672608,21856
1,9,5186,1
1,9,0,0
1,9,28523,12
1,9,59260422,22853
1,9,5186,1
1,9,2593,1
1,9,55116808,21255
1,10,5186,2
1,10,0,1
1,10,36302,14
1,10,58485115,22554
1,10,5186,1
1,10,2593,0
1,10,53820308,20756
1,11,5186,1
1,11,0,0
1,11,36302,15
1,11,56143636,21651
1,11,5186,1
1,11,2593,1
1,11,54419291,20987
1,12,7779,2
1,12,0,1
1,12,38895,16
1,12,63868183,24630
1,12,5186,1
1,12,2593,1
1,12,65579563,25290
1,13,5186,1
1,13,0,1
1,13,36302,14
1,13,56835967,21918
1,13,5186,1
1,13,2593,1
1,13,54880845,21164
1,14,5186,1
1,14,0,0
1,14,25930,11
1,14,57263812,22084
1,14,5186,1
1,14,2593,1
1,14,56317367,21719
1,15,5186,1
1,15,0,0
1,15,25930,10
1,15,54639696,21071
1,15,0,0
1,15,5186,1
1,15,55845441,21536
1,16,7779,2
1,16,2593,1
1,16,36302,13
1,16,55562804,21426
1,16,329311,2
1,16,2593,1
1,16,65063556,25092
1,17,7779,2
1,17,2593,1
1,17,38895,16
1,17,60922535,23494
1,17,5186,2
1,17,2593,1
1,17,10312361,3976
1,18,5186,1
1,18,2593,1
1,18,28523,11
1,18,55145331,21266
1,18,298195,2
1,18,0,0
1,18,54548941,21037
1,19,2593,0
1,19,2593,1
1,19,28523,22
1,19,55490200,21399
1,19,2593,1
1,19,2593,0
1,19,55606885,21444
1,20,2593,1
1,20,2593,1
1,20,28523,11
1,20,57668320,22239
1,20,5186,2
1,20,2593,0
1,20,54888624,21167
1,21,5186,1
1,21,0,0
1,21,36302,14
1,21,58892216,22712
1,21,5186,1
1,21,2593,1
1,21,56174752,21664
1,22,5186,1
1,22,2593,0
1,22,28523,11
1,22,59535280,22960
1,22,5186,1
1,22,31116,1
1,22,56078811,21626
1,23,2593,1
1,23,0,1
1,23,25930,11
1,23,56488505,21784
1,23,5186,1
1,23,2593,1
1,23,55083099,21242
1,24,7779,1
1,24,0,1
1,24,36302,14
1,24,56091776,21632
1,24,5186,1
1,24,5186,1
1,24,54027748,20836
1,25,5186,1
1,25,0,0
1,25,36302,14
1,25,57844644,22308
1,25,5186,2
1,25,2593,1
1,25,55824697,21529
1,26,5186,1
1,26,2593,1
1,26,38895,15
1,26,57730552,22263
1,26,5186,1
1,26,2593,1
1,26,55640594,21457
1,27,28523,11
1,27,2593,1
1,27,36302,14
1,27,56050288,21615
1,27,5186,1
1,27,2593,1
1,27,10320140,3980
1,28,2593,1
1,28,2593,0
1,28,28523,11
1,28,57559414,22197
1,28,5186,1
1,28,2593,1
1,28,55010495,21214
1,29,5186,2
1,29,2593,1
1,29,38895,14
1,29,58005410,22369
1,29,5186,1
