sec_lvl,test_id,cycles,time
1,0,7779,1
1,0,2593,0
1,0,687145,266
1,0,2593,1
1,0,222902059,85963
1,0,0,0
1,0,0,0
1,0,10372,2
1,0,2593,0
1,0,45616056,17591
1,0,4900770,1888
1,1,7779,2
1,1,2593,1
1,1,59639,23
1,1,7779,2
1,1,216868148,83637
1,1,7779,3
1,1,2593,1
1,1,2593,1
1,1,5186,1
1,1,57862795,22313
1,1,5385661,2076
1,2,5186,2
1,2,2593,1
1,2,38895,14
1,2,5186,2
1,2,217039286,83701
1,2,0,0
1,2,0,0
1,2,0,0
1,2,5186,1
1,2,55632815,21454
1,2,5359731,2067
1,3,7779,2
1,3,2593,0
1,3,38895,15
1,3,5186,2
1,3,218211322,84153
1,3,7779,2
1,3,0,1
1,3,0,1
1,3,5186,1
1,3,37300305,14384
1,3,4885212,1883
1,4,2593,1
1,4,2593,1
1,4,28523,10
1,4,5186,2
1,4,204398411,78827
1,4,9041791,3
1,4,2593,1
1,4,2593,1
1,4,2593,0
1,4,71880553,27719
1,4,5287127,2040
1,5,7779,2
1,5,2593,1
1,5,64825,24
1,5,5186,1
1,5,214275148,82636
1,5,329311,4
1,5,0,1
1,5,2593,1
1,5,5186,1
1,5,37541454,14477
1,5,5027827,1937
1,6,12965,4
1,6,2593,1
1,6,38895,15
1,6,7779,2
1,6,214451472,82703
1,6,12965,3
1,6,2593,0
1,6,2593,0
1,6,2593,1
1,6,55695047,21479
1,6,5193779,2003
1,7,7779,1
1,7,2593,1
1,7,36302,15
1,7,5186,1
1,7,205793445,79364
1,7,11536257,4
1,7,0,1
1,7,0,1
1,7,10372,3
1,7,54478930,21009
1,7,4908549,1892
1,8,5186,1
1,8,2593,1
1,8,67418,25
1,8,2593,1
1,8,213953616,82513
1,8,10372,3
1,8,2593,1
1,8,2593,0
1,8,5186,1
1,8,43393855,16734
1,8,4859282,1874
1,9,2593,2
1,9,2593,1
1,9,31116,11
1,9,7779,2
1,9,201253102,77614
1,9,0,0
1,9,0,0
1,9,0,0
1,9,2593,1
1,9,50161585,19343
1,9,4957816,1911
1,10,5186,2
1,10,2593,1
1,10,36302,13
1,10,7779,2
1,10,211682148,81636
1,10,7779,2
1,10,0,1
1,10,0,1
1,10,2593,1
1,10,40629717,15668
1,10,4908549,1892
1,11,5186,1
1,11,0,1
1,11,36302,15
1,11,5186,2
1,11,208702791,80487
1,11,5186,3
1,11,2593,0
1,11,0,1
1,11,5186,1
1,11,55555025,21424
1,11,4892991,1885
1,12,5186,2
1,12,2593,0
1,12,36302,15
1,12,5186,1
1,12,61264811,23626
1,12,10372,4
1,12,2593,0
1,12,2593,0
1,12,5186,2
1,12,54043306,20842
1,12,5248232,2025
1,13,5186,2
1,13,2593,1
1,13,38895,15
1,13,7779,2
1,13,217428236,83852
1,13,10372,3
1,13,2593,0
1,13,2593,0
1,13,5186,1
1,13,37852614,14597
1,13,4981153,1920
1,14,5186,1
1,14,2593,1
1,14,38895,15
1,14,5186,1
1,14,216396222,83454
1,14,10372,3
1,14,2593,1
1,14,2593,1
1,14,5186,1
1,14,38021159,14661
1,14,4937072,1904
1,15,5186,2
1,15,0,1
1,15,90755,35
1,15,7779,2
1,15,215374580,83059
1,15,10372,3
1,15,2593,1
1,15,2593,1
1,15,2593,1
1,15,37637395,14514
1,15,4828166,1862
1,16,2593,1
1,16,0,1
1,16,31116,12
1,16,5186,2
1,16,213691723,82411
1,16,10372,3
1,16,2593,1
1,16,2593,1
1,16,2593,0
1,16,37888916,14612
1,16,5007083,1931
1,17,7779,2
1,17,2593,0
1,17,38895,15
1,17,7779,2
1,17,223114685,86046
1,17,10372,3
1,17,0,1
1,17,0,1
1,17,2593,0
1,17,37424769,14432
1,17,4848910,1870
1,18,5186,2
1,18,0,1
1,18,38895,15
1,18,7779,2
1,18,216020237,83310
1,18,10372,3
1,18,2593,0
1,18,2593,0
1,18,5186,1
1,18,10037503,3870
1,18,5468637,2108
1,19,5186,1
1,19,2593,1
1,19,33709,13
1,19,5186,1
1,19,216108399,83343
1,19,7779,2
1,19,2593,1
1,19,2593,1
1,19,5186,1
1,19,56752991,21886
1,19,5051164,1947
1,20,7779,1
1,20,2593,0
1,20,41488,16
1,20,7779,2
1,20,215649438,83166
1,20,0,0
1,20,0,0
1,20,0,0
1,20,2593,1
1,20,54289641,20938
1,20,4885212,1883
1,21,5186,1
1,21,2593,1
1,21,31116,11
1,21,5186,1
1,21,215675368,83175
1,21,7779,2
1,21,2593,0
1,21,2593,1
1,21,2593,1
1,21,39789585,15344
1,21,4885212,1882
1,22,5186,2
1,22,2593,0
1,22,38895,16
1,22,7779,2
1,22,225710278,87046
1,22,12965,3
1,22,2593,1
1,22,2593,0
1,22,5186,1
1,22,53218732,20523
1,22,4835945,1864
1,23,5186,1
1,23,2593,1
1,23,31116,11
1,23,5186,2
1,23,221024727,85239
1,23,10372,3
1,23,0,1
1,23,0,1
1,23,2593,1
1,23,42885627,16538
1,23,4887805,1884
1,24,2593,0
1,24,2593,0
1,24,28523,11
1,24,7779,2
1,24,216251014,83398
1,24,10372,3
1,24,2593,1
1,24,2593,1
1,24,7779,2
1,24,56553330,21810
1,24,4970781,1916
1,25,5186,1
1,25,2593,1
1,25,31116,12
1,25,7779,2
1,25,217117076,83732
1,25,10372,3
1,25,2593,1
1,25,2593,1
1,25,5186,1
1,25,42877848,16535
1,25,4955223,1910
1,26,5186,2
1,26,2593,1
1,26,38895,15
1,26,5186,2
1,26,216585511,83527
1,26,7779,3
1,26,2593,0
1,26,2593,1
1,26,2593,1
1,26,55710605,21483
1,26,5411591,2086
1,27,10372,2
1,27,2593,0
1,27,51860,19
1,27,10372,17
1,27,219188883,84531
1,27,10372,3
1,27,0,0
1,27,2593,1
1,27,2593,1
1,27,10055654,3877
1,27,5082280,1959
1,28,5186,2
1,28,2593,1
1,28,36302,13
1,28,5186,1
1,28,214985630,82911
1,28,10372,3
1,28,0,0
1,28,2593,0
1,28,2593,1
1,28,37621837,14508
1,28,4841131,1866
1,29,5186,2
1,29,0,1
1,29,38895,15
1,29,5186,1
1,29,220853589,85174
1,29,10372,3
1,29,0,0
1,29,0,1
1,29,7779,2
1,29,57650169,22232
1,29,4900770,1888
1,30,0,0
1,30,2593,1
1,30,31116,12
1,30,5186,2
1,30,218955513,84441
1,30,0,0
1,30,0,0
1,30,0,0
1,30,5186,1
1,30,56659643,21850
1,30,4908549,1892
1,31,5186,2
1,31,0,1
1,31,31116,12
1,31,5186,1
1,31,219927888,84816
1,31,7779,2
1,31,0,1
1,31,0,1
1,31,5186,1
1,31,56073625,21623
1,31,4957816,1910
1,32,7779,2
1,32,5186,1
1,32,38895,15
1,32,7779,2
1,32,221994509,85614
1,32,7779,3
1,32,2593,0
1,32,2593,1
1,32,2593,1
1,32,55109029,21252
1,32,4880026,1881
1,33,5186,2
1,33,0,1
1,33,31116,12
1,33,5186,1
1,33,218901060,84420
1,33,10372,3
1,33,0,1
1,33,2593,1
1,33,5186,1
1,33,55339806,21341
1,33,4815201,1856
1,34,7779,2
1,34,2593,0
1,34,38895,16
1,34,5186,2
1,34,217879418,84026
1,34,12965,4
1,34,2593,0
1,34,2593,0
1,34,5186,1
1,34,57007105,21985
1,34,4872247,1879
1,35,5186,1
1,35,2593,1
1,35,36302,15
1,35,5186,2
1,35,217594188,83915
1,35,7779,2
1,35,0,1
1,35,2593,1
1,35,5186,1
1,35,55526502,21413
1,35,5245639,2022
1,36,2593,1
1,36,0,1
1,36,31116,12
1,36,7779,2
1,36,219723041,84737
1,36,15558,4
1,36,0,1
1,36,2593,1
1,36,5186,1
1,36,58420290,22529
1,36,4963002,1913
1,37,5186,1
1,37,2593,1
1,37,44081,17
1,37,2593,1
1,37,220477604,85029
1,37,12965,3
1,37,2593,1
1,37,2593,1
1,37,5186,1
1,37,55259423,21310
1,37,5149698,1986
1,38,2593,0
1,38,2593,0
1,38,54453,20
1,38,5186,2
1,38,218579528,84296
1,38,7779,3
1,38,2593,0
1,38,2593,0
1,38,5186,1
1,38,55010495,21214
1,38,5180814,1998
1,39,5186,1
1,39,2593,1
1,39,38895,15
1,39,5186,2
1,39,221870045,85565
1,39,10372,3
1,39,2593,1
1,39,2593,1
1,39,2593,1
1,39,55682082,21474
1,39,5313057,2050
1,40,7779,2
1,40,2593,1
1,40,36302,15
1,40,5186,1
1,40,219287417,84569
1,40,7779,3
1,40,2593,1
1,40,0,1
1,40,5186,1
1,40,55617257,21448
1,40,4994118,1926
1,41,5186,1
1,41,2593,1
1,41,36302,15
1,41,7779,2
1,41,211132432,81424
1,41,0,0
1,41,0,0
1,41,0,0
1,41,5186,1
1,41,39947758,15404
1,41,4895584,1887
1,42,7779,2
1,42,2593,1
1,42,36302,15
1,42,5186,1
1,42,203524570,78490
1,42,7779,2
1,42,0,0
1,42,0,1
1,42,5186,1
1,42,54904182,21174
1,42,4978560,1920
1,43,2593,2
1,43,2593,1
1,43,33709,13
1,43,5186,2
1,43,203615325,78524
1,43,7779,3
1,43,2593,1
1,43,2593,1
1,43,5186,1
1,43,38163774,14717
1,43,9171441,3538
1,44,5186,1
1,44,2593,1
1,44,38895,14
1,44,7779,2
1,44,203654220,78540
1,44,7779,3
1,44,2593,1
1,44,2593,1
1,44,2593,1
1,44,54582650,21050
1,44,4887805,1884
1,45,5186,1
1,45,2593,0
1,45,28523,11
1,45,5186,2
1,45,201092336,77552
1,45,7779,2
1,45,0,1
1,45,2593,1
1,45,5186,1
1,45,40619345,15664
1,45,4869654,1877
1,46,5186,1
1,46,2593,0
1,46,31116,11
1,46,5186,2
1,46,201325706,77642
1,46,10372,3
1,46,0,1
1,46,2593,0
1,46,2593,1
1,46,35614855,13734
1,46,4895584,1887
1,47,5186,1
1,47,2593,1
1,47,36302,14
1,47,5186,2
1,47,200304064,77248
1,47,10372,3
1,47,2593,1
1,47,2593,1
1,47,5186,1
1,47,37346979,14402
1,47,4898177,1888
1,48,5186,1
1,48,0,1
1,48,36302,15
1,48,7779,2
1,48,197648832,76223
1,48,7779,3
1,48,0,1
1,48,0,1
1,48,5186,1
1,48,45431953,17520
1,48,4859282,1874
1,49,7779,2
1,49,2593,1
1,49,38895,15
1,49,7779,2
1,49,194389431,74966
1,49,7779,3
1,49,2593,1
1,49,2593,1
1,49,5186,1
1,49,37754080,14559
1,49,5351952,2063
2,0,5186,2
2,0,2593,1
2,0,36302,15
2,0,7779,2
2,0,184499729,71153
2,0,10372,3
2,0,2593,1
2,0,2593,0
2,0,2593,1
2,0,67477639,26022
2,0,9690041,3735
2,1,5186,1
2,1,0,1
2,1,25930,11
2,1,5186,1
2,1,535641196,206572
2,1,7779,2
2,1,2593,1
2,1,2593,0
2,1,2593,1
2,1,63378106,24441
2,1,10159374,3917
2,2,2593,1
2,2,0,1
2,2,28523,12
2,2,5186,2
2,2,540487513,208441
2,2,10372,3
2,2,2593,1
2,2,2593,1
2,2,5186,1
2,2,59944974,23117
2,2,10794659,4162
2,3,5186,1
2,3,2593,1
2,3,28523,11
2,3,5186,2
2,3,557562418,215026
2,3,0,0
2,3,0,0
2,3,12965,2
2,3,2593,0
2,3,55752093,21501
2,3,10208641,3936
2,4,5186,1
2,4,2593,1
2,4,38895,14
2,4,5186,1
2,4,325206281,125416
2,4,10372,3
2,4,0,1
2,4,2593,1
2,4,5186,1
2,4,49972296,19271
