sec_lvl,test_id,operation,cycles,time
1,0,rsa_encrypt,3829861,1476
1,0,sha256_hash_master_secret,0,0
1,0,sha256_hash_key_expansion,0,0
1,0,rsa_sign_with_sha256,116210481,44817
1,1,rsa_encrypt,5600880,2161
1,1,sha256_hash_master_secret,46674,19
1,1,sha256_hash_key_expansion,137429,53
1,1,rsa_sign_with_sha256,157719225,60825
1,2,rsa_encrypt,5499753,2121
1,2,sha256_hash_master_secret,46674,18
1,2,sha256_hash_key_expansion,132243,51
1,2,rsa_sign_with_sha256,157078754,60577
1,3,rsa_encrypt,5606066,2163
1,3,sha256_hash_master_secret,46674,18
1,3,sha256_hash_key_expansion,132243,51
1,3,rsa_sign_with_sha256,132585276,51131
1,4,rsa_encrypt,6093550,2352
1,4,sha256_hash_master_secret,49267,18
1,4,sha256_hash_key_expansion,132243,51
1,4,rsa_sign_with_sha256,160353713,61842
1,5,rsa_encrypt,5590508,2156
1,5,sha256_hash_master_secret,46674,19
1,5,sha256_hash_key_expansion,132243,51
1,5,rsa_sign_with_sha256,153951596,59371
1,6,rsa_encrypt,5440114,2098
1,6,sha256_hash_master_secret,46674,18
1,6,sha256_hash_key_expansion,132243,51
1,6,rsa_sign_with_sha256,154978424,59768
1,7,rsa_encrypt,6150596,2373
1,7,sha256_hash_master_secret,49267,18
1,7,sha256_hash_key_expansion,132243,51
1,7,rsa_sign_with_sha256,159262060,61419
1,8,rsa_encrypt,6127259,2364
1,8,sha256_hash_master_secret,49267,18
1,8,sha256_hash_key_expansion,158173,61
1,8,rsa_sign_with_sha256,146141480,56359
1,9,rsa_encrypt,5611252,2165
1,9,sha256_hash_master_secret,46674,19
1,9,sha256_hash_key_expansion,134836,52
1,9,rsa_sign_with_sha256,145672147,56179
1,10,rsa_encrypt,5572357,2149
1,10,sha256_hash_master_secret,46674,18
1,10,sha256_hash_key_expansion,676773,261
1,10,rsa_sign_with_sha256,154426115,59555
1,11,rsa_encrypt,7364120,2841
1,11,sha256_hash_master_secret,49267,18
1,11,sha256_hash_key_expansion,184103,72
1,11,rsa_sign_with_sha256,154900634,59738
1,12,rsa_encrypt,6077992,2345
1,12,sha256_hash_master_secret,49267,19
1,12,sha256_hash_key_expansion,137429,53
1,12,rsa_sign_with_sha256,125674931,48467
1,13,rsa_encrypt,5556799,2144
1,13,sha256_hash_master_secret,614541,237
1,13,sha256_hash_key_expansion,137429,54
1,13,rsa_sign_with_sha256,133733975,51575
1,14,rsa_encrypt,5598287,2160
1,14,sha256_hash_master_secret,49267,18
1,14,sha256_hash_key_expansion,134836,53
1,14,rsa_sign_with_sha256,160680431,61968
1,15,rsa_encrypt,5595694,2158
1,15,sha256_hash_master_secret,46674,19
1,15,sha256_hash_key_expansion,137429,53
1,15,rsa_sign_with_sha256,127834900,49300
1,16,rsa_encrypt,6077992,2345
1,16,sha256_hash_master_secret,49267,19
1,16,sha256_hash_key_expansion,137429,53
1,16,rsa_sign_with_sha256,138883673,53561
1,17,rsa_encrypt,5590508,2156
1,17,sha256_hash_master_secret,49267,18
1,17,sha256_hash_key_expansion,134836,51
1,17,rsa_sign_with_sha256,146403373,56461
1,18,rsa_encrypt,6197270,2391
1,18,sha256_hash_master_secret,46674,18
1,18,sha256_hash_key_expansion,132243,51
1,18,rsa_sign_with_sha256,149247894,57557
1,19,rsa_encrypt,6052062,2335
1,19,sha256_hash_master_secret,46674,18
1,19,sha256_hash_key_expansion,132243,51
1,19,rsa_sign_with_sha256,161346832,62225
1,20,rsa_encrypt,5906854,2279
1,20,sha256_hash_master_secret,49267,18
1,20,sha256_hash_key_expansion,134836,51
1,20,rsa_sign_with_sha256,144238218,55626
1,21,rsa_encrypt,5766832,2225
1,21,sha256_hash_master_secret,49267,18
1,21,sha256_hash_key_expansion,134836,51
1,21,rsa_sign_with_sha256,114843970,44290
1,22,rsa_encrypt,5440114,2099
1,22,sha256_hash_master_secret,46674,18
1,22,sha256_hash_key_expansion,132243,51
1,22,rsa_sign_with_sha256,123782041,47737
1,23,rsa_encrypt,5593101,2156
1,23,sha256_hash_master_secret,46674,18
1,23,sha256_hash_key_expansion,132243,51
1,23,rsa_sign_with_sha256,162223266,62563
