sec_lvl,test_id,cycles,time
1,0,7779,1
1,0,0,1
1,0,583425,225
1,0,7779,2
1,0,5186,3
1,0,2593,0
1,0,2593,1
1,0,2593,1
1,0,169351423,65310
1,0,0,0
1,1,5186,2
1,1,5186,1
1,1,38895,15
1,1,5186,1
1,1,7779,2
1,1,2593,1
1,1,2593,0
1,1,2593,1
1,1,65219136,25151
1,1,0,0
1,2,2593,0
1,2,2593,1
1,2,25930,11
1,2,5186,1
1,2,5186,2
1,2,2593,1
1,2,2593,0
1,2,2593,0
1,2,45253036,17452
1,2,0,0
1,3,2593,1
1,3,2593,1
1,3,25930,11
1,3,7779,2
1,3,5186,2
1,3,2593,1
1,3,2593,1
1,3,2593,1
1,3,49894506,19242
1,3,0,0
1,4,7779,2
1,4,2593,0
1,4,33709,14
1,4,7779,1
1,4,5186,2
1,4,0,1
1,4,0,1
1,4,5186,1
1,4,45758671,17646
1,4,0,0
1,5,2593,0
1,5,2593,1
1,5,31116,12
1,5,7779,2
1,5,5186,2
1,5,0,1
1,5,0,1
1,5,5186,1
1,5,52806445,20364
1,5,0,0
1,6,2593,1
1,6,0,1
1,6,25930,10
1,6,5186,1
1,6,5186,2
1,6,2593,0
1,6,2593,0
1,6,5186,1
1,6,57974294,22357
1,6,0,0
1,7,7779,2
1,7,2593,1
1,7,36302,15
1,7,5186,1
1,7,5186,2
1,7,10372,2
1,7,7779,2
1,7,5186,1
1,7,63170666,24360
1,7,0,0
1,8,5186,1
1,8,2593,1
1,8,36302,13
1,8,7779,2
1,8,5186,2
1,8,0,1
1,8,0,1
1,8,5186,1
1,8,46256527,17838
1,8,0,0
1,9,5186,2
1,9,2593,0
1,9,33709,13
1,9,7779,2
1,9,7779,2
1,9,2593,0
1,9,2593,1
1,9,5186,1
1,9,10021945,3864
1,9,0,0
1,10,2593,1
1,10,2593,1
1,10,28523,10
1,10,5186,1
1,10,5186,3
1,10,2593,1
1,10,2593,1
1,10,2593,1
1,10,155263654,59877
1,10,1244640,479
1,11,5186,1
1,11,2593,0
1,11,25930,10
1,11,5186,2
1,11,5186,3
