sec_lvl,test_id,operation,cycles,time
1,0,rsa_decrypt,192215400,74102
1,0,sha256_hash_master_secret,54474,22
1,0,sha256_hash_key_expansion,137482,53
1,0,rsa_verify_with_sha256,5610822,2164
1,1,rsa_decrypt,154700972,59639
1,1,sha256_hash_master_secret,51880,19
1,1,sha256_hash_key_expansion,129700,50
1,1,rsa_verify_with_sha256,5021984,1936
1,2,rsa_decrypt,155564774,59972
1,2,sha256_hash_master_secret,49286,18
1,2,sha256_hash_key_expansion,129700,50
1,2,rsa_verify_with_sha256,3950662,1523
1,3,rsa_decrypt,155925340,60112
1,3,sha256_hash_master_secret,77820,31
1,3,sha256_hash_key_expansion,134888,51
1,3,rsa_verify_with_sha256,4889690,1885
1,4,rsa_decrypt,155222366,59840
1,4,sha256_hash_master_secret,51880,19
1,4,sha256_hash_key_expansion,127106,50
1,4,rsa_verify_with_sha256,4772960,1841
1,5,rsa_decrypt,157767080,60821
1,5,sha256_hash_master_secret,51880,19
1,5,sha256_hash_key_expansion,132294,51
1,5,rsa_verify_with_sha256,4811870,1856
1,6,rsa_decrypt,157575124,60747
1,6,sha256_hash_master_secret,51880,19
1,6,sha256_hash_key_expansion,132294,51
1,6,rsa_verify_with_sha256,4817058,1857
1,7,rsa_decrypt,157738546,60810
1,7,sha256_hash_master_secret,49286,20
1,7,sha256_hash_key_expansion,132294,52
1,7,rsa_verify_with_sha256,5188000,2001
1,8,rsa_decrypt,158023886,60920
1,8,sha256_hash_master_secret,54474,20
1,8,sha256_hash_key_expansion,163422,62
1,8,rsa_verify_with_sha256,4804088,1852
1,9,rsa_decrypt,159460962,61473
1,9,sha256_hash_master_secret,51880,20
1,9,sha256_hash_key_expansion,132294,51
1,9,rsa_verify_with_sha256,4905254,1892
1,10,rsa_decrypt,157632192,60769
1,10,sha256_hash_master_secret,49286,20
1,10,sha256_hash_key_expansion,132294,52
1,10,rsa_verify_with_sha256,4791118,1848
1,11,rsa_decrypt,154122510,59414
1,11,sha256_hash_master_secret,0,0
1,11,sha256_hash_key_expansion,4830028,1863
1,11,rsa_verify_with_sha256,4811870,1856
1,12,rsa_decrypt,157453206,60700
1,12,sha256_hash_master_secret,51880,20
1,12,sha256_hash_key_expansion,134888,51
1,12,rsa_verify_with_sha256,4824840,1860
1,13,rsa_decrypt,157344258,60657
1,13,sha256_hash_master_secret,51880,20
1,13,sha256_hash_key_expansion,129700,49
1,13,rsa_verify_with_sha256,4389048,1692
1,14,rsa_decrypt,156825458,60457
1,14,sha256_hash_master_secret,49286,19
1,14,sha256_hash_key_expansion,163422,64
1,14,rsa_verify_with_sha256,4809276,1853
1,15,rsa_decrypt,157798208,60832
1,15,sha256_hash_master_secret,51880,19
1,15,sha256_hash_key_expansion,132294,51
1,15,rsa_verify_with_sha256,4848186,1869
1,16,rsa_decrypt,157959036,60896
1,16,sha256_hash_master_secret,51880,20
1,16,sha256_hash_key_expansion,132294,52
1,16,rsa_verify_with_sha256,4858562,1874
1,17,rsa_decrypt,157707418,60797
1,17,sha256_hash_master_secret,51880,20
1,17,sha256_hash_key_expansion,132294,51
1,17,rsa_verify_with_sha256,5123150,1976
1,18,rsa_decrypt,158462272,61089
1,18,sha256_hash_master_secret,49286,20
1,18,sha256_hash_key_expansion,547334,211
1,18,rsa_verify_with_sha256,4855968,1872
1,19,rsa_decrypt,157536214,60732
1,19,sha256_hash_master_secret,51880,19
1,19,sha256_hash_key_expansion,134888,51
1,19,rsa_verify_with_sha256,4778148,1842
1,20,rsa_decrypt,157531026,60730
1,20,sha256_hash_master_secret,51880,20
1,20,sha256_hash_key_expansion,134888,51
1,20,rsa_verify_with_sha256,5097210,1966
1,21,rsa_decrypt,157136738,60578
1,21,sha256_hash_master_secret,49286,20
1,21,sha256_hash_key_expansion,134888,52
1,21,rsa_verify_with_sha256,4830028,1863
1,22,rsa_decrypt,157113392,60569
1,22,sha256_hash_master_secret,51880,19
1,22,sha256_hash_key_expansion,137482,53
1,22,rsa_verify_with_sha256,4871532,1879
1,23,rsa_decrypt,158757988,61203
1,23,sha256_hash_master_secret,49286,20
1,23,sha256_hash_key_expansion,129700,50
1,23,rsa_verify_with_sha256,4806682,1854
1,24,rsa_decrypt,157315724,60646
1,24,sha256_hash_master_secret,49286,19
1,24,sha256_hash_key_expansion,132294,51
1,24,rsa_verify_with_sha256,5175030,1995
1,25,rsa_decrypt,157276814,60632
1,25,sha256_hash_master_secret,49286,20
1,25,sha256_hash_key_expansion,134888,52
1,25,rsa_verify_with_sha256,4780742,1844
1,26,rsa_decrypt,158833214,61232
1,26,sha256_hash_master_secret,80414,30
1,26,sha256_hash_key_expansion,189362,72
1,26,rsa_verify_with_sha256,5149090,1986
1,27,rsa_decrypt,159167840,61360
1,27,sha256_hash_master_secret,49286,19
1,27,sha256_hash_key_expansion,132294,51
1,27,rsa_verify_with_sha256,4767772,1838
1,28,rsa_decrypt,156669818,60397
1,28,sha256_hash_master_secret,0,0
1,28,sha256_hash_key_expansion,0,0
1,28,rsa_verify_with_sha256,0,0
1,29,rsa_decrypt,159250848,61393
1,29,sha256_hash_master_secret,51880,19
1,29,sha256_hash_key_expansion,129700,50
1,29,rsa_verify_with_sha256,5073864,1957
2,0,rsa_decrypt,551450678,212587
2,0,sha256_hash_master_secret,51880,20
2,0,sha256_hash_key_expansion,132294,51
2,0,rsa_verify_with_sha256,11431758,4408
2,1,rsa_decrypt,483015770,186206
2,1,sha256_hash_master_secret,49286,20
2,1,sha256_hash_key_expansion,134888,51
2,1,rsa_verify_with_sha256,11372096,4385
2,2,rsa_decrypt,485365934,187113
2,2,sha256_hash_master_secret,54474,20
2,2,sha256_hash_key_expansion,132294,51
2,2,rsa_verify_with_sha256,11143824,4297
2,3,rsa_decrypt,483913294,186551
2,3,sha256_hash_master_secret,57068,21
2,3,sha256_hash_key_expansion,137482,52
2,3,rsa_verify_with_sha256,11405818,4397
2,4,rsa_decrypt,487023500,187751
2,4,sha256_hash_master_secret,75226,29
2,4,sha256_hash_key_expansion,134888,51
2,4,rsa_verify_with_sha256,11154200,4301
2,5,rsa_decrypt,484289424,186697
2,5,sha256_hash_master_secret,51880,19
2,5,sha256_hash_key_expansion,132294,51
2,5,rsa_verify_with_sha256,11242396,4335
2,6,rsa_decrypt,480582598,185268
2,6,sha256_hash_master_secret,51880,20
2,6,sha256_hash_key_expansion,132294,51
2,6,rsa_verify_with_sha256,11195704,4317
2,7,rsa_decrypt,485345182,187104
2,7,sha256_hash_master_secret,51880,20
2,7,sha256_hash_key_expansion,132294,51
2,7,rsa_verify_with_sha256,11265742,4343
2,8,rsa_decrypt,483778406,186499
2,8,sha256_hash_master_secret,54474,20
2,8,sha256_hash_key_expansion,134888,51
2,8,rsa_verify_with_sha256,11159388,4302
2,9,rsa_decrypt,481983358,185808
2,9,sha256_hash_master_secret,399476,154
2,9,sha256_hash_key_expansion,134888,52
2,9,rsa_verify_with_sha256,11706722,4514
2,10,rsa_decrypt,485054654,186993
2,10,sha256_hash_master_secret,51880,19
2,10,sha256_hash_key_expansion,132294,52
2,10,rsa_verify_with_sha256,11675594,4501
2,11,rsa_decrypt,483093590,186237
2,11,sha256_hash_master_secret,51880,21
2,11,sha256_hash_key_expansion,134888,51
2,11,rsa_verify_with_sha256,11312434,4362
2,12,rsa_decrypt,480151994,185102
2,12,sha256_hash_master_secret,49286,19
2,12,sha256_hash_key_expansion,132294,51
2,12,rsa_verify_with_sha256,11273524,4346
2,13,rsa_decrypt,480509966,185240
2,13,sha256_hash_master_secret,51880,20
2,13,sha256_hash_key_expansion,132294,52
2,13,rsa_verify_with_sha256,11167170,4306
2,14,rsa_decrypt,483430810,186366
2,14,sha256_hash_master_secret,51880,19
2,14,sha256_hash_key_expansion,132294,51
2,14,rsa_verify_with_sha256,11270930,4346
2,15,rsa_decrypt,485129880,187021
2,15,sha256_hash_master_secret,51880,20
2,15,sha256_hash_key_expansion,132294,51
2,15,rsa_verify_with_sha256,11833828,4563
2,16,rsa_decrypt,484426906,186751
2,16,sha256_hash_master_secret,57068,22
2,16,sha256_hash_key_expansion,140076,53
2,16,rsa_verify_with_sha256,11416194,4402
2,17,rsa_decrypt,483757654,186492
2,17,sha256_hash_master_secret,51880,19
2,17,sha256_hash_key_expansion,132294,51
2,17,rsa_verify_with_sha256,11291682,4354
2,18,rsa_decrypt,486424286,187519
2,18,sha256_hash_master_secret,51880,21
2,18,sha256_hash_key_expansion,132294,51
2,18,rsa_verify_with_sha256,11265742,4344
2,19,rsa_decrypt,484183070,186656
2,19,sha256_hash_master_secret,51880,20
2,19,sha256_hash_key_expansion,210114,82
2,19,rsa_verify_with_sha256,11639278,4490
2,20,rsa_decrypt,483669458,186458
2,20,sha256_hash_master_secret,54474,20
2,20,sha256_hash_key_expansion,132294,51
2,20,rsa_verify_with_sha256,11190516,4315
2,21,rsa_decrypt,479685074,184921
2,21,sha256_hash_master_secret,0,0
2,21,sha256_hash_key_expansion,0,0
2,21,rsa_verify_with_sha256,10215172,3937
2,22,rsa_decrypt,483544946,186411
2,22,sha256_hash_master_secret,51880,20
2,22,sha256_hash_key_expansion,132294,51
2,22,rsa_verify_with_sha256,11265742,4343
2,23,rsa_decrypt,482976860,186190
2,23,sha256_hash_master_secret,51880,19
2,23,sha256_hash_key_expansion,132294,51
2,23,rsa_verify_with_sha256,11224238,4328
2,24,rsa_decrypt,481044330,185446
2,24,sha256_hash_master_secret,54474,20
2,24,sha256_hash_key_expansion,132294,51
2,24,rsa_verify_with_sha256,11174952,4308
2,25,rsa_decrypt,482937950,186176
2,25,sha256_hash_master_secret,28534,10
2,25,sha256_hash_key_expansion,0,0
2,25,rsa_verify_with_sha256,11291682,4354
2,26,rsa_decrypt,484237544,186677
2,26,sha256_hash_master_secret,54474,20
2,26,sha256_hash_key_expansion,134888,53
2,26,rsa_verify_with_sha256,11320216,4365
2,27,rsa_decrypt,482338736,185945
2,27,sha256_hash_master_secret,51880,20
2,27,sha256_hash_key_expansion,134888,51
2,27,rsa_verify_with_sha256,11244990,4335
2,28,rsa_decrypt,483516412,186400
2,28,sha256_hash_master_secret,51880,20
2,28,sha256_hash_key_expansion,132294,51
2,28,rsa_verify_with_sha256,11151606,4298
2,29,rsa_decrypt,486022216,187365
2,29,sha256_hash_master_secret,51880,20
2,29,sha256_hash_key_expansion,134888,51
