sec_lvl,test_id,operation,cycles,time
1,0,get_ecdh_params_from_cert,7782,4
1,0,ecdh_read_public,15564,6
1,0,ecdh_calc_secret,67119750,25876
1,0,sha256_hash_master_secret,62256,25
1,0,sha256_hash_key_expansion,142670,55
1,0,rsa_verify_with_sha256,4959728,1912
1,1,get_ecdh_params_from_cert,12970,6
1,1,ecdh_read_public,18158,6
1,1,ecdh_calc_secret,52795682,20352
1,1,sha256_hash_master_secret,0,0
1,1,sha256_hash_key_expansion,0,0
1,1,rsa_verify_with_sha256,4954540,1910
1,2,get_ecdh_params_from_cert,10376,4
1,2,ecdh_read_public,7782,3
1,2,ecdh_calc_secret,32383496,12483
1,2,sha256_hash_master_secret,0,0
1,2,sha256_hash_key_expansion,0,0
1,2,rsa_verify_with_sha256,5356610,2066
1,3,get_ecdh_params_from_cert,7782,4
1,3,ecdh_read_public,12970,4
1,3,ecdh_calc_secret,32731092,12618
1,3,sha256_hash_master_secret,0,0
1,3,sha256_hash_key_expansion,0,0
1,3,rsa_verify_with_sha256,4845592,1868
1,4,get_ecdh_params_from_cert,10376,4
1,4,ecdh_read_public,7782,3
1,4,ecdh_calc_secret,55758030,21496
1,4,sha256_hash_master_secret,49286,18
1,4,sha256_hash_key_expansion,132294,51
1,4,rsa_verify_with_sha256,4832622,1863
1,5,get_ecdh_params_from_cert,10376,4
1,5,ecdh_read_public,7782,3
1,5,ecdh_calc_secret,56987586,21970
1,5,sha256_hash_master_secret,49286,20
1,5,sha256_hash_key_expansion,500642,193
1,5,rsa_verify_with_sha256,4827434,1862
1,6,get_ecdh_params_from_cert,7782,4
1,6,ecdh_read_public,7782,3
1,6,ecdh_calc_secret,51589472,19888
1,6,sha256_hash_master_secret,0,0
1,6,sha256_hash_key_expansion,0,0
1,6,rsa_verify_with_sha256,4830028,1861
1,7,get_ecdh_params_from_cert,12970,4
1,7,ecdh_read_public,7782,3
1,7,ecdh_calc_secret,57332588,22103
1,7,sha256_hash_master_secret,103760,40
1,7,sha256_hash_key_expansion,160828,62
1,7,rsa_verify_with_sha256,4830028,1863
1,8,get_ecdh_params_from_cert,10376,4
1,8,ecdh_read_public,7782,4
