sec_lvl,test_id,operation,cycles,time
1,0,ecdh_setup,7782,3
1,0,ecdh_make_params,63275442,24394
1,0,parse_client_psk_identity,23346,9
1,0,ecdh_read_public,7782,3
1,0,ecdh_calc_secret,57496010,22167
1,0,psk_derive_premaster,2594,0
1,0,sha256_hash_master_secret,54474,21
1,0,sha256_hash_key_expansion,137482,53
1,1,ecdh_setup,10376,4
1,1,ecdh_make_params,56271642,21694
1,1,parse_client_psk_identity,7782,3
1,1,ecdh_read_public,5188,2
1,1,ecdh_calc_secret,53905914,20781
1,1,psk_derive_premaster,2594,1
1,1,sha256_hash_master_secret,49286,19
1,1,sha256_hash_key_expansion,132294,51
1,2,ecdh_setup,5188,3
1,2,ecdh_make_params,3494118,1347
1,2,parse_client_psk_identity,7782,2
1,2,ecdh_read_public,5188,2
1,2,ecdh_calc_secret,54061554,20841
1,2,psk_derive_premaster,2594,1
1,2,sha256_hash_master_secret,49286,19
1,2,sha256_hash_key_expansion,134888,51
1,3,ecdh_setup,7782,3
1,3,ecdh_make_params,55049868,21223
1,3,parse_client_psk_identity,7782,3
1,3,ecdh_read_public,5188,1
1,3,ecdh_calc_secret,53859222,20764
1,3,psk_derive_premaster,2594,1
1,3,sha256_hash_master_secret,49286,19
1,3,sha256_hash_key_expansion,132294,51
1,4,ecdh_setup,5188,3
1,4,ecdh_make_params,54907198,21168
1,4,parse_client_psk_identity,7782,3
1,4,ecdh_read_public,5188,2
1,4,ecdh_calc_secret,54468812,20999
1,4,psk_derive_premaster,2594,1
1,4,sha256_hash_master_secret,46692,18
1,4,sha256_hash_key_expansion,132294,51
1,5,ecdh_setup,7782,2
1,5,ecdh_make_params,52160152,20107
1,5,parse_client_psk_identity,5188,3
1,5,ecdh_read_public,5188,2
1,5,ecdh_calc_secret,24962062,9622
1,5,psk_derive_premaster,0,0
1,5,sha256_hash_master_secret,0,0
1,5,sha256_hash_key_expansion,0,0
1,6,ecdh_setup,7782,3
1,6,ecdh_make_params,46248426,17829
1,6,parse_client_psk_identity,7782,3
1,6,ecdh_read_public,5188,2
1,6,ecdh_calc_secret,48445544,18676
1,6,psk_derive_premaster,0,0
1,6,sha256_hash_master_secret,0,0
1,6,sha256_hash_key_expansion,0,0
1,7,ecdh_setup,7782,3
1,7,ecdh_make_params,55153628,21263
1,7,parse_client_psk_identity,7782,3
1,7,ecdh_read_public,5188,1
1,7,ecdh_calc_secret,53789184,20738
1,7,psk_derive_premaster,2594,1
1,7,sha256_hash_master_secret,46692,19
1,7,sha256_hash_key_expansion,134888,52
1,8,ecdh_setup,7782,3
1,8,ecdh_make_params,19169660,7389
1,8,parse_client_psk_identity,5188,3
1,8,ecdh_read_public,5188,2
1,8,ecdh_calc_secret,48536334,18710
1,8,psk_derive_premaster,0,0
1,8,sha256_hash_master_secret,0,0
