sec_lvl,test_id,cycles,time
1,0,28534,10
1,0,347596,1
1,0,910494,352
1,0,5188,2
1,0,5188,1
1,0,230866,88
1,1,5188,1
1,1,2594,1
1,1,46692,18
1,1,5188,1
1,1,2594,1
1,1,236054,90
1,2,5188,2
1,2,2594,1
1,2,38910,15
1,2,5188,1
1,2,2594,1
1,2,228272,88
1,3,7782,2
1,3,2594,1
1,3,38910,14
1,3,2594,1
1,3,5188,1
1,3,223084,85
1,4,7782,2
1,4,2594,1
1,4,38910,16
1,4,2594,2
1,4,2594,1
1,4,225678,87
1,5,5188,1
1,5,0,1
1,5,36316,14
1,5,5188,2
1,5,2594,1
1,5,230866,88
1,6,5188,1
1,6,2594,1
1,6,33722,13
1,6,5188,1
1,6,2594,1
1,6,215302,82
1,7,5188,1
1,7,2594,1
1,7,36316,13
1,7,5188,2
1,7,2594,0
1,7,241242,92
1,8,5188,2
1,8,2594,1
1,8,33722,13
1,8,5188,1
1,8,2594,1
1,8,243836,93
1,9,7782,2
1,9,0,1
1,9,59662,23
1,9,5188,2
1,9,2594,1
1,9,220490,84
1,10,7782,2
1,10,2594,1
1,10,36316,15
1,10,7782,2
1,10,2594,1
1,10,243836,93
1,11,5188,1
1,11,2594,3
1,11,54474,20
1,11,5188,1
1,11,2594,1
1,11,246430,96
1,12,5188,2
1,12,2594,1
1,12,33722,12
1,12,7782,2
1,12,2594,1
1,12,381318,146
1,13,5188,1
1,13,0,1
1,13,33722,13
1,13,5188,2
1,13,2594,1
1,13,220490,85
1,14,5188,2
1,14,2594,0
1,14,31128,13
1,14,5188,2
1,14,2594,0
1,14,220490,84
1,15,5188,1
1,15,2594,1
1,15,33722,12
1,15,5188,2
1,15,2594,0
1,15,407258,157
1,16,7782,2
1,16,2594,1
1,16,36316,14
1,16,5188,1
1,16,2594,1
1,16,228272,87
1,17,7782,2
1,17,0,1
1,17,33722,23
1,17,5188,1
1,17,2594,1
1,17,243836,94
1,18,7782,1
1,18,2594,1
1,18,36316,15
1,18,5188,2
1,18,2594,0
1,18,337220,130
1,19,5188,2
1,19,2594,1
1,19,33722,13
1,19,5188,1
1,19,2594,1
1,19,269776,103
1,20,5188,2
1,20,2594,1
1,20,33722,14
1,20,5188,1
1,20,2594,1
1,20,228272,87
1,21,31128,1
1,21,2594,1
1,21,33722,13
1,21,7782,2
1,21,2594,1
1,21,215302,82
1,22,5188,1
1,22,2594,1
1,22,33722,13
1,22,5188,1
1,22,2594,1
1,22,225678,86
1,23,5188,1
1,23,2594,0
1,23,33722,13
1,23,5188,1
1,23,2594,1
1,23,220490,85
1,24,5188,1
1,24,0,1
1,24,33722,13
1,24,5188,1
1,24,2594,1
1,24,243836,93
1,25,5188,1
1,25,0,1
1,25,33722,13
1,25,7782,2
1,25,2594,1
1,25,243836,93
1,26,5188,2
1,26,2594,0
1,26,36316,14
1,26,5188,2
1,26,2594,1
1,26,225678,88
1,27,5188,2
1,27,2594,1
1,27,36316,13
1,27,5188,1
1,27,2594,1
1,27,241242,92
1,28,5188,1
1,28,2594,0
1,28,33722,14
1,28,7782,2
1,28,2594,1
1,28,238648,91
1,29,7782,2
1,29,0,1
1,29,36316,14
1,29,5188,2
1,29,2594,1
1,29,228272,87
1,30,5188,1
1,30,0,0
1,30,33722,13
1,30,7782,2
1,30,2594,1
1,30,241242,92
1,31,5188,1
1,31,0,1
1,31,33722,14
1,31,5188,1
1,31,2594,1
1,31,251618,96
1,32,5188,2
1,32,2594,0
1,32,31128,13
1,32,5188,2
1,32,2594,1
1,32,223084,85
1,33,5188,1
1,33,0,1
1,33,33722,13
1,33,7782,2
1,33,2594,1
1,33,241242,92
1,34,5188,2
1,34,2594,1
1,34,33722,12
1,34,7782,2
1,34,2594,0
1,34,236054,92
1,35,5188,1
1,35,2594,1
1,35,33722,13
1,35,7782,2
1,35,2594,1
1,35,225678,88
1,36,5188,2
1,36,2594,1
1,36,33722,13
1,36,5188,2
1,36,2594,1
1,36,241242,92
1,37,28534,2
1,37,2594,1
1,37,33722,13
1,37,5188,2
1,37,2594,1
1,37,246430,94
1,38,5188,1
1,38,2594,0
1,38,33722,13
1,38,5188,2
1,38,2594,1
1,38,267182,102
1,39,7782,2
1,39,2594,1
1,39,36316,14
1,39,5188,2
1,39,2594,1
1,39,332032,127
2,0,5188,2
2,0,2594,1
2,0,33722,13
2,0,5188,2
2,0,2594,1
2,0,238648,91
2,1,7782,2
2,1,0,1
2,1,62256,24
2,1,5188,1
2,1,2594,1
2,1,241242,93
2,2,5188,2
2,2,2594,1
2,2,38910,15
2,2,5188,1
2,2,2594,1
2,2,230866,88
2,3,7782,1
2,3,2594,1
2,3,36316,15
2,3,5188,2
2,3,2594,0
2,3,246430,96
2,4,7782,2
2,4,2594,1
2,4,33722,13
2,4,5188,1
2,4,2594,1
2,4,220490,85
2,5,5188,2
2,5,2594,1
2,5,33722,14
2,5,7782,2
2,5,2594,1
2,5,241242,92
2,6,5188,1
2,6,2594,1
2,6,33722,13
2,6,5188,1
2,6,2594,1
2,6,339814,130
2,7,5188,2
2,7,2594,0
2,7,36316,14
2,7,5188,1
2,7,2594,1
2,7,295716,114
2,8,5188,2
2,8,2594,1
2,8,33722,13
2,8,5188,2
2,8,5188,1
2,8,368348,141
2,9,5188,1
2,9,2594,1
2,9,64850,26
2,9,5188,1
2,9,2594,1
2,9,230866,88
2,10,7782,2
