sec_lvl,test_id,operation,cycles,time
1,0,parse_client_psk_identity,10376,4
1,0,psk_derive_premaster,2594,1
1,0,sha256_hash_master_secret,51880,20
1,0,sha256_hash_key_expansion,137482,53
1,1,parse_client_psk_identity,7782,2
1,1,psk_derive_premaster,2594,1
1,1,sha256_hash_master_secret,57068,21
1,1,sha256_hash_key_expansion,137482,54
1,2,parse_client_psk_identity,7782,3
1,2,psk_derive_premaster,2594,1
1,2,sha256_hash_master_secret,51880,21
1,2,sha256_hash_key_expansion,137482,52
1,3,parse_client_psk_identity,7782,3
1,3,psk_derive_premaster,2594,1
1,3,sha256_hash_master_secret,51880,19
1,3,sha256_hash_key_expansion,132294,51
1,4,parse_client_psk_identity,7782,3
1,4,psk_derive_premaster,5188,1
1,4,sha256_hash_master_secret,51880,20
1,4,sha256_hash_key_expansion,134888,52
1,5,parse_client_psk_identity,7782,4
1,5,psk_derive_premaster,2594,1
1,5,sha256_hash_master_secret,51880,20
1,5,sha256_hash_key_expansion,137482,53
1,6,parse_client_psk_identity,7782,3
1,6,psk_derive_premaster,2594,1
1,6,sha256_hash_master_secret,46692,19
1,6,sha256_hash_key_expansion,129700,49
1,7,parse_client_psk_identity,7782,3
1,7,psk_derive_premaster,2594,1
1,7,sha256_hash_master_secret,72632,29
1,7,sha256_hash_key_expansion,129700,50
1,8,parse_client_psk_identity,7782,3
1,8,psk_derive_premaster,2594,1
1,8,sha256_hash_master_secret,49286,19
1,8,sha256_hash_key_expansion,155640,61
1,9,parse_client_psk_identity,10376,3
1,9,psk_derive_premaster,2594,1
1,9,sha256_hash_master_secret,49286,19
1,9,sha256_hash_key_expansion,132294,51
1,10,parse_client_psk_identity,7782,3
1,10,psk_derive_premaster,2594,1
1,10,sha256_hash_master_secret,49286,19
1,10,sha256_hash_key_expansion,145264,57
1,11,parse_client_psk_identity,7782,4
1,11,psk_derive_premaster,2594,1
1,11,sha256_hash_master_secret,75226,30
1,11,sha256_hash_key_expansion,132294,52
1,12,parse_client_psk_identity,90790,36
1,12,psk_derive_premaster,2594,1
1,12,sha256_hash_master_secret,51880,20
1,12,sha256_hash_key_expansion,178986,70
1,13,parse_client_psk_identity,7782,4
1,13,psk_derive_premaster,2594,1
1,13,sha256_hash_master_secret,51880,19
1,13,sha256_hash_key_expansion,134888,51
1,14,parse_client_psk_identity,7782,3
1,14,psk_derive_premaster,5188,1
1,14,sha256_hash_master_secret,49286,19
1,14,sha256_hash_key_expansion,132294,51
1,15,parse_client_psk_identity,7782,3
1,15,psk_derive_premaster,2594,1
1,15,sha256_hash_master_secret,207520,81
1,15,sha256_hash_key_expansion,160828,62
1,16,parse_client_psk_identity,10376,3
1,16,psk_derive_premaster,2594,1
1,16,sha256_hash_master_secret,51880,20
1,16,sha256_hash_key_expansion,137482,53
1,17,parse_client_psk_identity,10376,4
1,17,psk_derive_premaster,2594,1
1,17,sha256_hash_master_secret,49286,19
1,17,sha256_hash_key_expansion,155640,61
1,18,parse_client_psk_identity,7782,3
1,18,psk_derive_premaster,2594,1
1,18,sha256_hash_master_secret,142670,55
1,18,sha256_hash_key_expansion,158234,60
1,19,parse_client_psk_identity,10376,3
1,19,psk_derive_premaster,2594,1
1,19,sha256_hash_master_secret,51880,20
1,19,sha256_hash_key_expansion,178986,69
1,20,parse_client_psk_identity,10376,3
1,20,psk_derive_premaster,2594,1
1,20,sha256_hash_master_secret,51880,20
1,20,sha256_hash_key_expansion,137482,53
1,21,parse_client_psk_identity,10376,3
1,21,psk_derive_premaster,2594,1
1,21,sha256_hash_master_secret,49286,19
1,21,sha256_hash_key_expansion,129700,49
1,22,parse_client_psk_identity,7782,3
1,22,psk_derive_premaster,2594,1
1,22,sha256_hash_master_secret,49286,19
1,22,sha256_hash_key_expansion,137482,53
1,23,parse_client_psk_identity,7782,3
1,23,psk_derive_premaster,2594,1
1,23,sha256_hash_master_secret,51880,19
1,23,sha256_hash_key_expansion,134888,52
1,24,parse_client_psk_identity,7782,3
1,24,psk_derive_premaster,5188,1
1,24,sha256_hash_master_secret,49286,20
1,24,sha256_hash_key_expansion,155640,60
1,25,parse_client_psk_identity,10376,4
1,25,psk_derive_premaster,2594,1
1,25,sha256_hash_master_secret,72632,29
1,25,sha256_hash_key_expansion,129700,50
1,26,parse_client_psk_identity,7782,4
1,26,psk_derive_premaster,2594,2
1,26,sha256_hash_master_secret,51880,20
1,26,sha256_hash_key_expansion,137482,52
1,27,parse_client_psk_identity,33722,12
1,27,psk_derive_premaster,2594,1
1,27,sha256_hash_master_secret,49286,19
1,27,sha256_hash_key_expansion,132294,50
1,28,parse_client_psk_identity,31128,12
1,28,psk_derive_premaster,2594,1
1,28,sha256_hash_master_secret,49286,19
1,28,sha256_hash_key_expansion,129700,50
1,29,parse_client_psk_identity,7782,4
1,29,psk_derive_premaster,2594,1
1,29,sha256_hash_master_secret,49286,19
1,29,sha256_hash_key_expansion,137482,53
1,30,parse_client_psk_identity,10376,3
1,30,psk_derive_premaster,28534,1
1,30,sha256_hash_master_secret,49286,19
1,30,sha256_hash_key_expansion,129700,50
1,31,parse_client_psk_identity,10376,3
1,31,psk_derive_premaster,2594,1
1,31,sha256_hash_master_secret,75226,30
1,31,sha256_hash_key_expansion,137482,53
1,32,parse_client_psk_identity,7782,4
1,32,psk_derive_premaster,2594,1
1,32,sha256_hash_master_secret,49286,19
1,32,sha256_hash_key_expansion,132294,51
1,33,parse_client_psk_identity,31128,13
1,33,psk_derive_premaster,2594,1
1,33,sha256_hash_master_secret,49286,18
1,33,sha256_hash_key_expansion,129700,50
1,34,parse_client_psk_identity,7782,3
1,34,psk_derive_premaster,2594,1
1,34,sha256_hash_master_secret,46692,18
1,34,sha256_hash_key_expansion,129700,50
1,35,parse_client_psk_identity,7782,3
1,35,psk_derive_premaster,2594,1
1,35,sha256_hash_master_secret,51880,19
1,35,sha256_hash_key_expansion,137482,53
1,36,parse_client_psk_identity,31128,13
1,36,psk_derive_premaster,2594,1
1,36,sha256_hash_master_secret,51880,19
1,36,sha256_hash_key_expansion,129700,49
1,37,parse_client_psk_identity,7782,3
1,37,psk_derive_premaster,2594,1
1,37,sha256_hash_master_secret,75226,29
1,37,sha256_hash_key_expansion,132294,51
1,38,parse_client_psk_identity,7782,3
1,38,psk_derive_premaster,2594,1
1,38,sha256_hash_master_secret,98572,39
1,38,sha256_hash_key_expansion,129700,50
1,39,parse_client_psk_identity,31128,13
1,39,psk_derive_premaster,2594,1
1,39,sha256_hash_master_secret,75226,30
1,39,sha256_hash_key_expansion,191956,75
2,0,parse_client_psk_identity,33722,13
2,0,psk_derive_premaster,2594,1
