sec_lvl,test_id,operation,cycles,time
1,0,get_ecdh_params_from_cert,5188,3
1,0,ecdh_make_public,64650262,24925
1,0,ecdh_calc_secret,52743802,20332
1,0,sha256_hash_master_secret,0,0
1,0,sha256_hash_key_expansion,0,0
1,0,ecdsa_sign_with_sha256,62585438,24129
1,1,get_ecdh_params_from_cert,5188,3
1,1,ecdh_make_public,57459694,22152
1,1,ecdh_calc_secret,55213290,21286
1,1,sha256_hash_master_secret,46692,18
1,1,sha256_hash_key_expansion,129700,50
1,1,ecdsa_sign_with_sha256,57700936,22244
1,2,get_ecdh_params_from_cert,5188,3
1,2,ecdh_make_public,55869572,21539
1,2,ecdh_calc_secret,55675022,21463
1,2,sha256_hash_master_secret,49286,19
1,2,sha256_hash_key_expansion,132294,51
1,2,ecdsa_sign_with_sha256,56735968,21872
1,3,get_ecdh_params_from_cert,5188,3
1,3,ecdh_make_public,56354650,21726
1,3,ecdh_calc_secret,54336518,20947
1,3,sha256_hash_master_secret,0,0
1,3,sha256_hash_key_expansion,0,0
1,3,ecdsa_sign_with_sha256,57327400,22101
1,4,get_ecdh_params_from_cert,5188,3
1,4,ecdh_make_public,56756720,21880
1,4,ecdh_calc_secret,55828068,21524
1,4,sha256_hash_master_secret,51880,20
1,4,sha256_hash_key_expansion,132294,51
1,4,ecdsa_sign_with_sha256,57540108,22182
1,5,get_ecdh_params_from_cert,5188,3
1,5,ecdh_make_public,54344300,20949
1,5,ecdh_calc_secret,57755410,22266
1,5,sha256_hash_master_secret,46692,17
1,5,sha256_hash_key_expansion,129700,50
1,5,ecdsa_sign_with_sha256,45221202,17432
1,6,get_ecdh_params_from_cert,5188,3
1,6,ecdh_make_public,56178258,21656
1,6,ecdh_calc_secret,55602390,21436
1,6,sha256_hash_master_secret,46692,18
1,6,sha256_hash_key_expansion,129700,50
1,6,ecdsa_sign_with_sha256,57682778,22238
1,7,get_ecdh_params_from_cert,5188,2
1,7,ecdh_make_public,56754126,21880
1,7,ecdh_calc_secret,55545322,21415
1,7,sha256_hash_master_secret,49286,19
1,7,sha256_hash_key_expansion,132294,52
1,7,ecdsa_sign_with_sha256,56676306,21850
1,8,get_ecdh_params_from_cert,5188,2
1,8,ecdh_make_public,55711338,21478
1,8,ecdh_calc_secret,55623142,21444
1,8,sha256_hash_master_secret,46692,17
1,8,sha256_hash_key_expansion,129700,50
1,8,ecdsa_sign_with_sha256,57835824,22296
1,9,get_ecdh_params_from_cert,5188,2
1,9,ecdh_make_public,56852698,21917
1,9,ecdh_calc_secret,55361148,21342
1,9,sha256_hash_master_secret,46692,18
1,9,sha256_hash_key_expansion,132294,52
1,9,ecdsa_sign_with_sha256,56365026,21730
1,10,get_ecdh_params_from_cert,7782,2
1,10,ecdh_make_public,57283302,22084
1,10,ecdh_calc_secret,55560886,21419
1,10,sha256_hash_master_secret,51880,20
1,10,sha256_hash_key_expansion,132294,52
1,10,ecdsa_sign_with_sha256,57176948,22043
1,11,get_ecdh_params_from_cert,5188,3
1,11,ecdh_make_public,56523260,21790
1,11,ecdh_calc_secret,55604984,21437
1,11,sha256_hash_master_secret,49286,18
1,11,sha256_hash_key_expansion,132294,51
1,11,ecdsa_sign_with_sha256,56359838,21729
1,12,get_ecdh_params_from_cert,5188,2
1,12,ecdh_make_public,56891608,21933
1,12,ecdh_calc_secret,55117312,21249
1,12,sha256_hash_master_secret,44098,17
1,12,sha256_hash_key_expansion,127106,50
1,12,ecdsa_sign_with_sha256,58933086,22720
1,13,get_ecdh_params_from_cert,5188,3
1,13,ecdh_make_public,46518202,17933
1,13,ecdh_calc_secret,64409020,24831
1,13,sha256_hash_master_secret,46692,18
1,13,sha256_hash_key_expansion,127106,49
1,13,ecdsa_sign_with_sha256,56388372,21739
1,14,get_ecdh_params_from_cert,5188,2
1,14,ecdh_make_public,57047248,21993
1,14,ecdh_calc_secret,55472690,21387
1,14,sha256_hash_master_secret,51880,20
1,14,sha256_hash_key_expansion,132294,51
1,14,ecdsa_sign_with_sha256,57029090,21985
1,15,get_ecdh_params_from_cert,5188,2
1,15,ecdh_make_public,56782660,21890
1,15,ecdh_calc_secret,54933138,21178
1,15,sha256_hash_master_secret,46692,18
1,15,sha256_hash_key_expansion,132294,51
1,15,ecdsa_sign_with_sha256,57070594,22002
1,16,get_ecdh_params_from_cert,5188,2
1,16,ecdh_make_public,56396154,21741
1,16,ecdh_calc_secret,54948702,21184
1,16,sha256_hash_master_secret,51880,19
1,16,sha256_hash_key_expansion,223084,87
1,16,ecdsa_sign_with_sha256,56686682,21854
1,17,get_ecdh_params_from_cert,7782,2
1,17,ecdh_make_public,56372808,21733
1,17,ecdh_calc_secret,54689302,21084
1,17,sha256_hash_master_secret,46692,18
1,17,sha256_hash_key_expansion,129700,50
1,17,ecdsa_sign_with_sha256,58201578,22438
1,18,get_ecdh_params_from_cert,5188,3
1,18,ecdh_make_public,55859196,21535
1,18,ecdh_calc_secret,55607578,21438
1,18,sha256_hash_master_secret,44098,18
1,18,sha256_hash_key_expansion,132294,52
1,18,ecdsa_sign_with_sha256,56826758,21908
1,19,get_ecdh_params_from_cert,5188,2
1,19,ecdh_make_public,55918858,21558
1,19,ecdh_calc_secret,54772310,21116
1,19,sha256_hash_master_secret,44098,18
1,19,sha256_hash_key_expansion,129700,50
1,19,ecdsa_sign_with_sha256,58053720,22380
1,20,get_ecdh_params_from_cert,5188,3
1,20,ecdh_make_public,56082280,21621
1,20,ecdh_calc_secret,55327426,21330
1,20,sha256_hash_master_secret,49286,19
1,20,sha256_hash_key_expansion,132294,51
1,20,ecdsa_sign_with_sha256,57000556,21975
1,21,get_ecdh_params_from_cert,5188,2
1,21,ecdh_make_public,56611456,21825
1,21,ecdh_calc_secret,54997988,21203
1,21,sha256_hash_master_secret,70038,28
1,21,sha256_hash_key_expansion,129700,50
1,21,ecdsa_sign_with_sha256,57052436,21995
1,22,get_ecdh_params_from_cert,7782,2
1,22,ecdh_make_public,54463624,20996
1,22,ecdh_calc_secret,56427282,21754
1,22,sha256_hash_master_secret,44098,18
1,22,sha256_hash_key_expansion,129700,50
1,22,ecdsa_sign_with_sha256,60248244,23227
1,23,get_ecdh_params_from_cert,5188,2
1,23,ecdh_make_public,56940894,21953
1,23,ecdh_calc_secret,56209386,21671
1,23,sha256_hash_master_secret,46692,18
1,23,sha256_hash_key_expansion,129700,51
1,23,ecdsa_sign_with_sha256,57540108,22183
1,24,get_ecdh_params_from_cert,5188,3
1,24,ecdh_make_public,56401342,21744
1,24,ecdh_calc_secret,55485660,21391
1,24,sha256_hash_master_secret,51880,20
1,24,sha256_hash_key_expansion,137482,53
1,24,ecdsa_sign_with_sha256,57623116,22215
1,25,get_ecdh_params_from_cert,5188,2
1,25,ecdh_make_public,56538824,21797
1,25,ecdh_calc_secret,55641300,21451
1,25,sha256_hash_master_secret,44098,18
1,25,sha256_hash_key_expansion,129700,51
1,25,ecdsa_sign_with_sha256,57828042,22293
1,26,get_ecdh_params_from_cert,7782,2
1,26,ecdh_make_public,57023902,21984
1,26,ecdh_calc_secret,55392276,21355
1,26,sha256_hash_master_secret,49286,20
1,26,sha256_hash_key_expansion,132294,52
1,26,ecdsa_sign_with_sha256,58230112,22449
1,27,get_ecdh_params_from_cert,5188,3
1,27,ecdh_make_public,56017430,21596
1,27,ecdh_calc_secret,55918858,21559
1,27,sha256_hash_master_secret,51880,20
1,27,sha256_hash_key_expansion,132294,51
1,27,ecdsa_sign_with_sha256,58232706,22450
1,28,get_ecdh_params_from_cert,5188,2
1,28,ecdh_make_public,56383184,21736
1,28,ecdh_calc_secret,55384494,21352
1,28,sha256_hash_master_secret,46692,18
1,28,sha256_hash_key_expansion,129700,50
1,28,ecdsa_sign_with_sha256,56292394,21701
1,29,get_ecdh_params_from_cert,5188,2
1,29,ecdh_make_public,56375402,21734
1,29,ecdh_calc_secret,57298866,22090
1,29,sha256_hash_master_secret,51880,19
1,29,sha256_hash_key_expansion,134888,51
1,29,ecdsa_sign_with_sha256,57879922,22314
1,30,get_ecdh_params_from_cert,7782,2
1,30,ecdh_make_public,56676306,21850
1,30,ecdh_calc_secret,54401368,20973
1,30,sha256_hash_master_secret,46692,18
1,30,sha256_hash_key_expansion,129700,50
1,30,ecdsa_sign_with_sha256,57470070,22157
1,31,get_ecdh_params_from_cert,5188,3
1,31,ecdh_make_public,55856602,21532
1,31,ecdh_calc_secret,55760624,21497
1,31,sha256_hash_master_secret,49286,18
1,31,sha256_hash_key_expansion,132294,52
1,31,ecdsa_sign_with_sha256,57241798,22068
1,32,get_ecdh_params_from_cert,5188,2
1,32,ecdh_make_public,56505102,21784
1,32,ecdh_calc_secret,53345610,20564
1,32,sha256_hash_master_secret,0,0
1,32,sha256_hash_key_expansion,0,0
1,32,ecdsa_sign_with_sha256,59742414,23032
1,33,get_ecdh_params_from_cert,5188,2
1,33,ecdh_make_public,56191228,21663
1,33,ecdh_calc_secret,55511600,21400
1,33,sha256_hash_master_secret,106354,42
1,33,sha256_hash_key_expansion,163422,62
1,33,ecdsa_sign_with_sha256,59355908,22882
1,34,get_ecdh_params_from_cert,5188,3
1,34,ecdh_make_public,56676306,21849
1,34,ecdh_calc_secret,55911076,21555
1,34,sha256_hash_master_secret,44098,18
1,34,sha256_hash_key_expansion,129700,51
1,34,ecdsa_sign_with_sha256,57080970,22005
1,35,get_ecdh_params_from_cert,5188,2
1,35,ecdh_make_public,56186040,21661
1,35,ecdh_calc_secret,55371524,21347
1,35,sha256_hash_master_secret,46692,17
1,35,sha256_hash_key_expansion,132294,50
1,35,ecdsa_sign_with_sha256,59065380,22770
1,36,get_ecdh_params_from_cert,7782,3
1,36,ecdh_make_public,56795630,21896
1,36,ecdh_calc_secret,54619264,21057
1,36,sha256_hash_master_secret,46692,18
1,36,sha256_hash_key_expansion,254212,98
1,36,ecdsa_sign_with_sha256,55978520,21581
1,37,get_ecdh_params_from_cert,5188,2
1,37,ecdh_make_public,53236662,20522
1,37,ecdh_calc_secret,57693154,22242
1,37,sha256_hash_master_secret,72632,29
1,37,sha256_hash_key_expansion,153046,59
1,37,ecdsa_sign_with_sha256,56201604,21667
1,38,get_ecdh_params_from_cert,5188,3
1,38,ecdh_make_public,56479162,21774
1,38,ecdh_calc_secret,55459720,21380
1,38,sha256_hash_master_secret,46692,18
1,38,sha256_hash_key_expansion,127106,50
1,38,ecdsa_sign_with_sha256,57508980,22170
1,39,get_ecdh_params_from_cert,5188,2
1,39,ecdh_make_public,56663336,21845
1,39,ecdh_calc_secret,55397464,21357
1,39,sha256_hash_master_secret,44098,18
1,39,sha256_hash_key_expansion,129700,50
1,39,ecdsa_sign_with_sha256,56590704,21817
1,40,get_ecdh_params_from_cert,5188,2
1,40,ecdh_make_public,55882542,21545
1,40,ecdh_calc_secret,53483092,20618
1,40,sha256_hash_master_secret,0,0
1,40,sha256_hash_key_expansion,0,0
1,40,ecdsa_sign_with_sha256,57685372,22239
1,41,get_ecdh_params_from_cert,5188,2
1,41,ecdh_make_public,57088752,22009
1,41,ecdh_calc_secret,55913670,21565
1,41,sha256_hash_master_secret,49286,20
1,41,sha256_hash_key_expansion,132294,52
1,41,ecdsa_sign_with_sha256,57182136,22045
1,42,get_ecdh_params_from_cert,5188,2
1,42,ecdh_make_public,57433754,22142
1,42,ecdh_calc_secret,55444156,21375
1,42,sha256_hash_master_secret,51880,20
1,42,sha256_hash_key_expansion,132294,51
1,42,ecdsa_sign_with_sha256,57348152,22109
1,43,get_ecdh_params_from_cert,7782,2
1,43,ecdh_make_public,57252174,22072
1,43,ecdh_calc_secret,55239230,21295
1,43,sha256_hash_master_secret,72632,28
1,43,sha256_hash_key_expansion,132294,52
1,43,ecdsa_sign_with_sha256,57555672,22189
