sec_lvl,test_id,operation,cycles,time
1,0,get_ecdh_params_from_cert,10376,4
1,0,ecdh_read_public,15564,6
1,0,ecdh_calc_secret,58564738,22578
1,0,sha256_hash_master_secret,54474,21
1,0,sha256_hash_key_expansion,137482,52
1,0,ecdsa_verify_with_sha256,120740324,46548
1,1,get_ecdh_params_from_cert,12970,5
1,1,ecdh_read_public,7782,3
1,1,ecdh_calc_secret,56193822,21664
1,1,sha256_hash_master_secret,75226,28
1,1,sha256_hash_key_expansion,134888,51
1,1,ecdsa_verify_with_sha256,112055612,43199
1,2,get_ecdh_params_from_cert,10376,4
1,2,ecdh_read_public,7782,3
1,2,ecdh_calc_secret,55400058,21357
1,2,sha256_hash_master_secret,46692,18
1,2,sha256_hash_key_expansion,132294,52
1,2,ecdsa_verify_with_sha256,111918130,43146
1,3,get_ecdh_params_from_cert,12970,5
1,3,ecdh_read_public,10376,4
1,3,ecdh_calc_secret,56147130,21645
1,3,sha256_hash_master_secret,49286,19
1,3,sha256_hash_key_expansion,132294,52
1,3,ecdsa_verify_with_sha256,113168438,43627
1,4,get_ecdh_params_from_cert,12970,5
1,4,ecdh_read_public,7782,3
1,4,ecdh_calc_secret,56780066,21890
1,4,sha256_hash_master_secret,51880,21
1,4,sha256_hash_key_expansion,134888,52
1,4,ecdsa_verify_with_sha256,110916846,42760
1,5,get_ecdh_params_from_cert,12970,4
1,5,ecdh_read_public,7782,3
1,5,ecdh_calc_secret,53010984,20436
1,5,sha256_hash_master_secret,0,0
1,5,sha256_hash_key_expansion,0,0
1,5,ecdsa_verify_with_sha256,108831270,41955
1,6,get_ecdh_params_from_cert,12970,5
1,6,ecdh_read_public,7782,3
1,6,ecdh_calc_secret,56390966,21740
1,6,sha256_hash_master_secret,49286,19
1,6,sha256_hash_key_expansion,132294,51
1,6,ecdsa_verify_with_sha256,112841594,43502
1,7,get_ecdh_params_from_cert,7782,4
1,7,ecdh_read_public,7782,4
1,7,ecdh_calc_secret,55205508,21284
1,7,sha256_hash_master_secret,49286,18
1,7,sha256_hash_key_expansion,134888,51
1,7,ecdsa_verify_with_sha256,112665202,43434
1,8,get_ecdh_params_from_cert,33722,14
1,8,ecdh_read_public,7782,3
1,8,ecdh_calc_secret,56165288,21653
1,8,sha256_hash_master_secret,49286,18
1,8,sha256_hash_key_expansion,134888,51
1,8,ecdsa_verify_with_sha256,110932410,42766
1,9,get_ecdh_params_from_cert,10376,4
1,9,ecdh_read_public,10376,4
1,9,ecdh_calc_secret,55812504,21517
1,9,sha256_hash_master_secret,51880,19
1,9,sha256_hash_key_expansion,134888,51
