sec_lvl,test_id,operation,cycles,time
1,0,get_ecdh_params_from_cert,7782,3
1,0,ecdh_make_public,58595866,22590
1,0,ecdh_calc_secret,55633518,21449
1,0,sha256_hash_master_secret,51880,20
1,0,sha256_hash_key_expansion,171204,67
1,0,rsa_sign_with_sha256,213571802,82336
1,1,get_ecdh_params_from_cert,7782,3
1,1,ecdh_make_public,56020024,21598
1,1,ecdh_calc_secret,53607604,20666
1,1,sha256_hash_master_secret,0,0
1,1,sha256_hash_key_expansion,0,0
1,1,rsa_sign_with_sha256,162016052,62459
1,2,get_ecdh_params_from_cert,7782,2
1,2,ecdh_make_public,56442846,21759
1,2,ecdh_calc_secret,54167908,20883
1,2,sha256_hash_master_secret,46692,18
1,2,sha256_hash_key_expansion,249024,226
1,2,rsa_sign_with_sha256,143393726,55279
1,3,get_ecdh_params_from_cert,5188,2
1,3,ecdh_make_public,55231448,21292
1,3,ecdh_calc_secret,55179568,21273
1,3,sha256_hash_master_secret,46692,18
1,3,sha256_hash_key_expansion,127106,50
1,3,rsa_sign_with_sha256,143406696,55284
1,4,get_ecdh_params_from_cert,5188,2
1,4,ecdh_make_public,56175664,21658
1,4,ecdh_calc_secret,53755462,20724
1,4,sha256_hash_master_secret,46692,18
1,4,sha256_hash_key_expansion,129700,49
1,4,rsa_sign_with_sha256,142542894,54951
1,5,get_ecdh_params_from_cert,7782,2
1,5,ecdh_make_public,56154912,21649
1,5,ecdh_calc_secret,55125094,21251
1,5,sha256_hash_master_secret,51880,20
1,5,sha256_hash_key_expansion,132294,51
1,5,rsa_sign_with_sha256,160407772,61839
1,6,get_ecdh_params_from_cert,5188,2
1,6,ecdh_make_public,57036872,21989
1,6,ecdh_calc_secret,54868288,21153
1,6,sha256_hash_master_secret,51880,20
1,6,sha256_hash_key_expansion,132294,51
1,6,rsa_sign_with_sha256,159826716,61615
1,7,get_ecdh_params_from_cert,7782,2
1,7,ecdh_make_public,56222356,21675
1,7,ecdh_calc_secret,53796966,20741
1,7,sha256_hash_master_secret,46692,18
1,7,sha256_hash_key_expansion,129700,50
1,7,rsa_sign_with_sha256,160311794,61802
1,8,get_ecdh_params_from_cert,7782,3
1,8,ecdh_make_public,55962956,21575
1,8,ecdh_calc_secret,55376712,21349
1,8,sha256_hash_master_secret,51880,19
1,8,sha256_hash_key_expansion,132294,52
1,8,rsa_sign_with_sha256,160257320,61780
1,9,get_ecdh_params_from_cert,5188,2
1,9,ecdh_make_public,56175664,21656
1,9,ecdh_calc_secret,54507722,21014
1,9,sha256_hash_master_secret,46692,18
1,9,sha256_hash_key_expansion,129700,50
1,9,rsa_sign_with_sha256,160612698,61918
1,10,get_ecdh_params_from_cert,5188,2
1,10,ecdh_make_public,57314430,22097
1,10,ecdh_calc_secret,56611456,21825
1,10,sha256_hash_master_secret,54474,21
1,10,sha256_hash_key_expansion,137482,53
1,10,rsa_sign_with_sha256,162687898,62717
1,11,get_ecdh_params_from_cert,5188,2
1,11,ecdh_make_public,57446724,22147
1,11,ecdh_calc_secret,54754152,21109
1,11,sha256_hash_master_secret,46692,18
1,11,sha256_hash_key_expansion,155640,60
1,11,rsa_sign_with_sha256,161263792,62169
1,12,get_ecdh_params_from_cert,5188,2
1,12,ecdh_make_public,56346868,21723
1,12,ecdh_calc_secret,54961672,21189
1,12,sha256_hash_master_secret,49286,19
1,12,sha256_hash_key_expansion,132294,51
1,12,rsa_sign_with_sha256,161154844,62127
1,13,get_ecdh_params_from_cert,5188,2
1,13,ecdh_make_public,56525854,21791
1,13,ecdh_calc_secret,55667240,21461
1,13,sha256_hash_master_secret,49286,19
1,13,sha256_hash_key_expansion,132294,52
1,13,rsa_sign_with_sha256,160112056,61725
