sec_lvl,test_id,cycles,time
1,0,7782,1
1,0,0,1
1,0,557710,215
1,0,7782,2
1,0,9501822,3662
1,0,10376,3
1,0,0,1
1,0,0,1
1,0,0,0
1,0,50528526,19478
1,0,129834888,50052
1,1,5188,1
1,1,2594,1
1,1,36316,14
1,1,7782,2
1,1,113990736,43945
1,1,10376,4
1,1,2594,0
1,1,2594,1
1,1,5188,1
1,1,56829352,21906
1,1,110971320,42780
1,2,2594,1
1,2,2594,0
1,2,28534,10
1,2,5188,2
1,2,112234598,43268
1,2,7782,2
1,2,2594,1
1,2,2594,1
1,2,5188,1
1,2,54961672,21187
1,2,110893500,42750
1,3,5188,1
1,3,2594,1
1,3,28534,10
1,3,5188,2
1,3,112714488,43452
1,3,7782,2
1,3,0,1
1,3,0,1
1,3,5188,1
1,3,56263860,21689
1,3,111723580,43071
1,4,2594,1
1,4,2594,0
1,4,25940,10
1,4,5188,2
1,4,113523816,43765
1,4,7782,2
1,4,2594,1
1,4,2594,1
1,4,2594,1
1,4,55807316,21514
1,4,112195688,43251
1,5,2594,1
1,5,2594,1
1,5,31128,11
1,5,7782,2
1,5,112338358,43308
1,5,7782,2
1,5,2594,0
1,5,2594,1
1,5,5188,1
1,5,55470096,21384
1,5,111739144,43077
1,6,5188,1
1,6,0,0
1,6,25940,11
1,6,7782,2
1,6,113248852,43658
1,6,7782,2
1,6,2594,1
1,6,2594,1
1,6,5188,1
1,6,55677616,21464
1,6,111780648,43091
1,7,2594,1
1,7,2594,1
1,7,25940,11
1,7,5188,2
1,7,111697640,43060
1,7,5188,2
1,7,2594,1
1,7,2594,1
1,7,5188,1
1,7,55662052,21458
1,7,112278696,43285
1,8,2594,1
1,8,2594,1
1,8,28534,11
1,8,7782,2
1,8,106429226,41029
1,8,0,0
1,8,0,0
1,8,0,0
1,8,2594,1
1,8,55457126,21378
1,8,111723580,43069
1,9,2594,0
1,9,0,1
1,9,25940,10
1,9,7782,2
1,9,112045236,43194
1,9,7782,2
1,9,2594,0
1,9,2594,1
1,9,5188,1
1,9,55275546,21309
1,9,111508278,42986
1,10,5188,1
1,10,0,1
1,10,28534,11
1,10,5188,2
1,10,111378578,42937
1,10,7782,2
1,10,2594,1
1,10,0,1
1,10,5188,1
1,10,56699652,21857
1,10,111946664,43156
1,11,2594,1
1,11,2594,1
1,11,28534,11
1,11,5188,1
1,11,111337074,42922
1,11,7782,3
1,11,2594,1
1,11,2594,1
1,11,2594,0
1,11,54907198,21166
1,11,112413584,43335
1,12,2594,1
1,12,2594,1
1,12,64850,25
1,12,5188,2
1,12,111850686,43119
1,12,7782,2
1,12,0,1
1,12,2594,0
1,12,5188,1
1,12,56167882,21652
1,12,110501806,42599
1,13,5188,1
1,13,0,1
1,13,25940,11
1,13,5188,2
1,13,113043926,43579
1,13,7782,2
1,13,2594,1
1,13,2594,1
1,13,5188,1
1,13,55189944,21275
1,13,113072460,43589
1,14,5188,1
1,14,2594,1
1,14,28534,11
1,14,5188,1
1,14,112932384,43536
1,14,7782,2
1,14,2594,0
1,14,2594,1
1,14,5188,1
1,14,55807316,21515
1,14,112198282,43253
1,15,5188,1
1,15,2594,0
1,15,25940,11
1,15,5188,1
1,15,112187906,43249
1,15,7782,2
1,15,2594,0
1,15,2594,0
1,15,2594,0
1,15,55252200,21299
1,15,112351328,43311
1,16,5188,1
1,16,2594,1
1,16,28534,11
1,16,7782,2
1,16,112060800,43199
1,16,7782,2
1,16,0,0
1,16,2594,0
1,16,5188,0
1,16,55215884,21285
1,16,111868844,43126
1,17,5188,2
1,17,2594,1
1,17,28534,11
1,17,7782,2
1,17,112073770,43205
1,17,0,0
1,17,0,0
1,17,0,0
1,17,2594,1
1,17,55643894,21451
1,17,110561468,42622
1,18,5188,1
1,18,0,1
1,18,28534,11
1,18,5188,1
1,18,112410990,43335
1,18,7782,3
1,18,2594,1
1,18,0,1
1,18,2594,1
1,18,59975874,23120
1,18,112890880,43519
1,19,5188,1
1,19,2594,0
1,19,28534,11
1,19,5188,2
1,19,112667796,43434
1,19,7782,2
1,19,2594,0
1,19,2594,1
1,19,2594,1
1,19,56385778,21736
1,19,110257970,42504
1,20,2594,2
1,20,2594,1
1,20,28534,11
1,20,5188,2
1,20,112545878,43388
1,20,337220,130
1,20,2594,0
1,20,2594,0
1,20,5188,1
1,20,56608862,21822
1,20,112136026,43228
1,21,5188,1
1,21,2594,0
1,21,28534,11
1,21,5188,1
1,21,111905160,43140
1,21,7782,2
1,21,2594,0
1,21,2594,1
1,21,5188,1
1,21,60121138,23176
1,21,118475762,45672
1,22,2594,1
1,22,0,1
1,22,31128,12
1,22,5188,1
1,22,113718366,43839
1,22,7782,2
1,22,2594,0
1,22,2594,0
1,22,2594,1
1,22,55371524,21345
1,22,113736524,43846
1,23,5188,1
1,23,5188,2
1,23,38910,14
1,23,7782,2
1,23,113578290,43785
1,23,7782,2
1,23,2594,1
1,23,2594,1
1,23,5188,1
1,23,55682804,21465
1,23,111957040,43159
1,24,5188,1
1,24,2594,0
1,24,28534,11
1,24,5188,1
1,24,111944070,43155
1,24,0,0
1,24,0,0
1,24,0,0
1,24,2594,1
1,24,56180852,21657
1,24,112880504,43517
1,25,2594,1
1,25,2594,1
1,25,28534,11
1,25,5188,1
1,25,113248852,43657
1,25,7782,3
1,25,2594,1
1,25,2594,1
1,25,2594,2
1,25,55319644,21326
1,25,112094522,43213
1,26,2594,1
1,26,2594,1
1,26,28534,10
1,26,5188,1
1,26,111609444,43026
1,26,7782,2
1,26,2594,0
1,26,2594,1
1,26,2594,1
1,26,55835850,21524
1,26,111599068,43022
1,27,5188,1
1,27,2594,1
1,27,28534,11
1,27,7782,2
1,27,113355206,43698
1,27,7782,3
1,27,0,1
1,27,0,1
1,27,5188,1
1,27,55872166,21538
1,27,112169748,43243
1,28,2594,1
1,28,2594,1
1,28,28534,11
1,28,5188,2
1,28,111881814,43130
1,28,0,0
1,28,0,0
1,28,0,0
1,28,5188,1
1,28,57210670,22054
1,28,111931100,43150
1,29,2594,1
1,29,2594,1
1,29,28534,11
1,29,7782,2
1,29,113362988,43703
1,29,7782,2
1,29,0,1
1,29,0,1
1,29,5188,1
1,29,55724308,21482
1,29,111191810,42865
1,30,2594,2
1,30,2594,0
1,30,28534,12
1,30,5188,2
1,30,113456372,43738
1,30,10376,2
1,30,2594,0
1,30,2594,0
1,30,5188,1
1,30,55405246,21358
1,30,112558848,43392
1,31,2594,1
1,31,0,1
1,31,28534,11
1,31,5188,2
1,31,113054302,43583
1,31,5188,2
1,31,2594,1
1,31,2594,1
1,31,5188,1
1,31,55514194,21400
1,31,111705422,43062
1,32,2594,1
1,32,0,0
1,32,25940,10
1,32,7782,3
1,32,112294260,43290
1,32,7782,2
1,32,2594,1
1,32,2594,1
1,32,5188,1
1,32,55654270,21454
1,32,111516060,42989
1,33,5188,1
1,33,2594,1
1,33,28534,10
1,33,5188,2
1,33,113635358,43807
1,33,7782,2
1,33,2594,1
1,33,2594,1
1,33,7782,1
1,33,56201604,21666
1,33,110512182,42602
1,34,2594,1
1,34,2594,0
1,34,25940,11
1,34,5188,1
1,34,112794902,43484
1,34,5188,2
1,34,0,1
1,34,0,1
1,34,5188,1
1,34,54946108,21182
1,34,111829934,43111
1,35,2594,1
