sec_lvl,test_id,cycles,time
1,0,41504,15
1,0,2594,1
1,0,184174,116
1,0,0,0
1,0,0,0
1,0,285340,110
1,1,23346,8
1,1,2594,0
1,1,10376,4
1,1,2594,1
1,1,7782,3
1,1,210114,81
1,2,23346,8
1,2,0,1
1,2,12970,5
1,2,5188,1
1,2,15564,6
1,2,272370,103
1,3,23346,8
1,3,2594,1
1,3,10376,4
1,3,2594,1
1,3,7782,4
1,3,215302,82
1,4,20752,8
1,4,2594,0
1,4,10376,3
1,4,2594,1
1,4,7782,3
1,4,212708,81
1,5,23346,8
1,5,2594,0
1,5,12970,4
1,5,2594,1
1,5,10376,3
1,5,217896,82
1,6,20752,8
1,6,0,1
1,6,12970,4
1,6,2594,1
1,6,10376,3
1,6,212708,81
1,7,23346,8
1,7,2594,0
1,7,10376,4
1,7,2594,1
1,7,10376,4
1,7,212708,81
1,8,20752,7
1,8,2594,1
1,8,10376,3
1,8,2594,1
1,8,10376,3
1,8,210114,81
1,9,20752,8
1,9,2594,1
1,9,10376,3
1,9,2594,1
1,9,7782,3
1,9,210114,81
1,10,20752,7
1,10,2594,0
1,10,12970,4
1,10,2594,1
1,10,7782,4
1,10,215302,82
1,11,18158,8
1,11,2594,0
1,11,10376,4
1,11,2594,0
1,11,7782,3
1,11,202332,78
1,12,20752,7
1,12,2594,0
1,12,10376,3
1,12,2594,1
1,12,7782,3
1,12,215302,83
1,13,31128,11
1,13,2594,1
1,13,20752,6
1,13,2594,1
1,13,12970,5
1,13,217896,84
1,14,23346,7
1,14,0,0
1,14,10376,4
1,14,2594,0
1,14,7782,3
1,14,202332,78
1,15,0,0
1,15,0,0
1,15,10376,3
1,15,2594,1
1,15,7782,3
1,15,236054,91
1,16,28534,9
1,16,2594,1
1,16,12970,5
1,16,2594,1
1,16,10376,5
1,16,399476,153
1,17,18158,7
1,17,0,1
1,17,12970,4
1,17,2594,1
1,17,7782,3
1,17,230866,89
1,18,20752,7
1,18,0,1
1,18,10376,3
1,18,2594,1
1,18,7782,4
1,18,254212,97
1,19,20752,7
1,19,2594,1
1,19,10376,4
1,19,2594,1
1,19,7782,4
1,19,311280,119
1,20,20752,7
1,20,0,1
1,20,10376,4
1,20,5188,1
1,20,10376,3
1,20,202332,77
1,21,20752,7
1,21,2594,1
1,21,18158,6
1,21,2594,1
1,21,7782,3
1,21,220490,84
1,22,31128,11
1,22,0,1
1,22,12970,4
1,22,2594,1
1,22,10376,4
1,22,217896,83
1,23,20752,7
1,23,2594,0
1,23,10376,4
1,23,2594,1
1,23,7782,4
1,23,202332,77
1,24,20752,8
1,24,0,1
1,24,10376,3
1,24,2594,1
1,24,10376,3
1,24,204926,78
1,25,20752,8
1,25,0,1
1,25,36316,13
1,25,2594,1
