sec_lvl,test_id,operation,cycles,time
1,0,psk_derive_premaster,0,0
1,0,sha256_hash_master_secret,54474,22
1,0,sha256_hash_key_expansion,223084,85
1,1,psk_derive_premaster,5188,1
1,1,sha256_hash_master_secret,54474,21
1,1,sha256_hash_key_expansion,137482,53
1,2,psk_derive_premaster,5188,3
1,2,sha256_hash_master_secret,83008,32
1,2,sha256_hash_key_expansion,145264,55
1,3,psk_derive_premaster,5188,2
1,3,sha256_hash_master_secret,54474,21
1,3,sha256_hash_key_expansion,137482,53
1,4,psk_derive_premaster,2594,1
1,4,sha256_hash_master_secret,54474,21
1,4,sha256_hash_key_expansion,137482,53
1,5,psk_derive_premaster,2594,1
1,5,sha256_hash_master_secret,54474,22
1,5,sha256_hash_key_expansion,137482,52
1,6,psk_derive_premaster,2594,1
1,6,sha256_hash_master_secret,51880,20
1,6,sha256_hash_key_expansion,137482,53
1,7,psk_derive_premaster,5188,1
1,7,sha256_hash_master_secret,54474,20
1,7,sha256_hash_key_expansion,137482,53
1,8,psk_derive_premaster,2594,1
1,8,sha256_hash_master_secret,54474,21
1,8,sha256_hash_key_expansion,137482,53
1,9,psk_derive_premaster,2594,1
1,9,sha256_hash_master_secret,54474,21
1,9,sha256_hash_key_expansion,137482,53
1,10,psk_derive_premaster,5188,1
1,10,sha256_hash_master_secret,54474,21
1,10,sha256_hash_key_expansion,137482,53
1,11,psk_derive_premaster,2594,2
1,11,sha256_hash_master_secret,51880,20
1,11,sha256_hash_key_expansion,132294,51
1,12,psk_derive_premaster,2594,1
1,12,sha256_hash_master_secret,51880,20
1,12,sha256_hash_key_expansion,142670,55
1,13,psk_derive_premaster,5188,2
1,13,sha256_hash_master_secret,57068,22
1,13,sha256_hash_key_expansion,137482,54
1,14,psk_derive_premaster,2594,2
1,14,sha256_hash_master_secret,51880,20
1,14,sha256_hash_key_expansion,132294,51
1,15,psk_derive_premaster,2594,2
1,15,sha256_hash_master_secret,54474,20
1,15,sha256_hash_key_expansion,160828,62
1,16,psk_derive_premaster,5188,2
1,16,sha256_hash_master_secret,184174,72
1,16,sha256_hash_key_expansion,173798,67
1,17,psk_derive_premaster,5188,1
1,17,sha256_hash_master_secret,51880,20
1,17,sha256_hash_key_expansion,158234,61
1,18,psk_derive_premaster,2594,2
1,18,sha256_hash_master_secret,54474,21
1,18,sha256_hash_key_expansion,176392,69
1,19,psk_derive_premaster,5188,1
1,19,sha256_hash_master_secret,124512,48
1,19,sha256_hash_key_expansion,163422,64
1,20,psk_derive_premaster,2594,1
1,20,sha256_hash_master_secret,51880,20
1,20,sha256_hash_key_expansion,132294,51
1,21,psk_derive_premaster,5188,2
1,21,sha256_hash_master_secret,57068,21
1,21,sha256_hash_key_expansion,137482,54
1,22,psk_derive_premaster,5188,2
1,22,sha256_hash_master_secret,54474,21
1,22,sha256_hash_key_expansion,137482,54
1,23,psk_derive_premaster,5188,1
1,23,sha256_hash_master_secret,51880,20
1,23,sha256_hash_key_expansion,132294,51
1,24,psk_derive_premaster,2594,1
1,24,sha256_hash_master_secret,51880,20
1,24,sha256_hash_key_expansion,134888,51
1,25,psk_derive_premaster,2594,1
1,25,sha256_hash_master_secret,51880,20
1,25,sha256_hash_key_expansion,132294,51
1,26,psk_derive_premaster,2594,1
1,26,sha256_hash_master_secret,54474,20
1,26,sha256_hash_key_expansion,134888,51
1,27,psk_derive_premaster,5188,1
1,27,sha256_hash_master_secret,54474,20
1,27,sha256_hash_key_expansion,197144,75
1,28,psk_derive_premaster,2594,2
1,28,sha256_hash_master_secret,54474,21
1,28,sha256_hash_key_expansion,207520,81
1,29,psk_derive_premaster,2594,1
1,29,sha256_hash_master_secret,80414,32
1,29,sha256_hash_key_expansion,212708,82
1,30,psk_derive_premaster,5188,1
1,30,sha256_hash_master_secret,51880,21
1,30,sha256_hash_key_expansion,137482,52
1,31,psk_derive_premaster,2594,1
1,31,sha256_hash_master_secret,51880,20
1,31,sha256_hash_key_expansion,134888,52
1,32,psk_derive_premaster,5188,2
1,32,sha256_hash_master_secret,83008,33
1,32,sha256_hash_key_expansion,166016,63
1,33,psk_derive_premaster,2594,2
1,33,sha256_hash_master_secret,51880,20
1,33,sha256_hash_key_expansion,134888,51
1,34,psk_derive_premaster,2594,2
1,34,sha256_hash_master_secret,51880,21
1,34,sha256_hash_key_expansion,132294,51
1,35,psk_derive_premaster,5188,1
1,35,sha256_hash_master_secret,51880,20
1,35,sha256_hash_key_expansion,134888,52
1,36,psk_derive_premaster,2594,2
1,36,sha256_hash_master_secret,51880,20
1,36,sha256_hash_key_expansion,132294,52
1,37,psk_derive_premaster,2594,1
1,37,sha256_hash_master_secret,0,0
1,37,sha256_hash_key_expansion,54474,22
1,38,psk_derive_premaster,2594,2
1,38,sha256_hash_master_secret,51880,20
1,38,sha256_hash_key_expansion,220490,85
1,39,psk_derive_premaster,5188,1
1,39,sha256_hash_master_secret,54474,20
1,39,sha256_hash_key_expansion,132294,51
1,40,psk_derive_premaster,2594,1
1,40,sha256_hash_master_secret,51880,20
1,40,sha256_hash_key_expansion,236054,92
1,41,psk_derive_premaster,2594,1
1,41,sha256_hash_master_secret,51880,20
1,41,sha256_hash_key_expansion,132294,52
1,42,psk_derive_premaster,5188,2
1,42,sha256_hash_master_secret,57068,23
1,42,sha256_hash_key_expansion,142670,54
1,43,psk_derive_premaster,5188,1
1,43,sha256_hash_master_secret,140076,55
1,43,sha256_hash_key_expansion,163422,63
1,44,psk_derive_premaster,2594,1
1,44,sha256_hash_master_secret,51880,20
1,44,sha256_hash_key_expansion,134888,51
1,45,psk_derive_premaster,5188,1
1,45,sha256_hash_master_secret,51880,20
1,45,sha256_hash_key_expansion,132294,51
1,46,psk_derive_premaster,2594,1
1,46,sha256_hash_master_secret,51880,20
1,46,sha256_hash_key_expansion,132294,52
1,47,psk_derive_premaster,2594,2
1,47,sha256_hash_master_secret,51880,20
1,47,sha256_hash_key_expansion,134888,52
1,48,psk_derive_premaster,2594,2
1,48,sha256_hash_master_secret,191956,75
1,48,sha256_hash_key_expansion,166016,63
1,49,psk_derive_premaster,2594,1
1,49,sha256_hash_master_secret,54474,20
1,49,sha256_hash_key_expansion,137482,53
2,0,psk_derive_premaster,2594,1
2,0,sha256_hash_master_secret,54474,21
2,0,sha256_hash_key_expansion,137482,53
2,1,psk_derive_premaster,2594,1
2,1,sha256_hash_master_secret,51880,20
2,1,sha256_hash_key_expansion,132294,51
2,2,psk_derive_premaster,2594,2
2,2,sha256_hash_master_secret,51880,20
2,2,sha256_hash_key_expansion,158234,61
2,3,psk_derive_premaster,2594,1
2,3,sha256_hash_master_secret,51880,20
2,3,sha256_hash_key_expansion,132294,51
2,4,psk_derive_premaster,2594,1
2,4,sha256_hash_master_secret,54474,21
2,4,sha256_hash_key_expansion,158234,61
2,5,psk_derive_premaster,2594,2
2,5,sha256_hash_master_secret,51880,20
