sec_lvl,test_id,cycles,time
1,0,20752,7
1,0,2594,1
1,0,490266,189
1,0,5188,1
1,0,0,1
1,0,2594,1
1,0,5499280,2119
1,0,201014248,77491
1,0,0,0
1,1,23346,8
1,1,2594,1
1,1,10376,3
1,1,2594,1
1,1,0,1
1,1,2594,1
1,1,5688642,2192
1,1,161632140,62310
1,1,0,0
1,2,18158,7
1,2,2594,1
1,2,10376,4
1,2,2594,1
1,2,0,1
1,2,2594,1
1,2,5509656,2123
1,2,150177036,57894
1,2,0,0
1,3,18158,7
1,3,0,1
1,3,10376,3
1,3,2594,1
1,3,2594,0
1,3,2594,1
1,3,5512250,2124
1,3,157813772,60838
1,3,0,0
1,4,20752,7
1,4,2594,0
1,4,10376,4
1,4,2594,2
1,4,2594,1
1,4,5188,1
1,4,5758680,2220
1,4,142509172,54938
1,4,0,0
1,5,15564,6
1,5,2594,1
1,5,10376,3
1,5,2594,2
1,5,2594,1
1,5,2594,1
1,5,5880598,2266
1,5,155531052,59958
1,5,2594,1
1,6,18158,7
1,6,2594,0
1,6,10376,3
1,6,2594,1
1,6,2594,1
1,6,2594,1
1,6,5610822,2163
1,6,154947402,59732
1,6,0,0
1,7,18158,6
1,7,2594,0
1,7,7782,3
1,7,2594,2
1,7,2594,1
1,7,2594,1
1,7,6067366,2338
1,7,149035676,57454
1,7,0,0
1,8,44098,16
1,8,2594,1
1,8,10376,3
1,8,2594,1
1,8,2594,1
1,8,5188,1
1,8,5961012,2298
1,8,160010890,61685
1,8,0,1
1,9,20752,7
1,9,0,1
1,9,10376,3
1,9,2594,1
1,9,2594,0
1,9,5188,1
1,9,5509656,2123
1,9,161217100,62150
1,9,2594,1
1,10,18158,6
1,10,2594,1
1,10,7782,3
1,10,2594,1
1,10,0,1
1,10,2594,1
1,10,5468152,2108
1,10,158571220,61131
1,10,2594,1
1,11,23346,8
1,11,2594,0
1,11,10376,3
1,11,2594,1
1,11,2594,1
1,11,2594,1
1,11,6018080,2319
1,11,159538782,61502
1,11,2594,0
1,12,18158,7
1,12,2594,0
1,12,7782,3
1,12,2594,1
1,12,2594,1
1,12,2594,1
1,12,5789808,2232
1,12,159984950,61675
1,12,2594,1
1,13,20752,8
1,13,2594,0
1,13,10376,3
1,13,2594,1
1,13,2594,0
1,13,5188,1
1,13,5922102,2282
1,13,156459704,60316
1,13,0,0
1,14,18158,7
1,14,2594,1
1,14,7782,3
1,14,2594,1
1,14,2594,1
1,14,2594,1
1,14,5496686,2119
1,14,159722956,61573
1,14,2594,1
1,15,15564,6
1,15,0,1
1,15,7782,3
1,15,2594,1
1,15,0,1
1,15,2594,1
1,15,5898756,2273
1,15,160296230,61794
1,15,2594,0
1,16,18158,6
1,16,2594,1
1,16,10376,3
1,16,2594,1
1,16,2594,1
1,16,2594,1
1,16,5992140,2309
1,16,156368914,60281
1,16,2594,0
1,17,20752,7
1,17,2594,1
1,17,7782,3
1,17,0,1
1,17,2594,0
1,17,5188,1
1,17,5865034,2260
1,17,159455774,61472
1,17,2594,0
1,18,20752,7
1,18,2594,0
1,18,10376,3
1,18,2594,1
1,18,2594,0
1,18,2594,1
1,18,5831312,2247
1,18,158617912,61148
1,18,0,1
1,19,20752,7
1,19,2594,0
1,19,10376,3
1,19,2594,1
1,19,0,1
1,19,2594,1
1,19,5748304,2215
1,19,157774862,60824
1,19,0,1
1,20,18158,6
1,20,2594,0
1,20,10376,3
1,20,2594,1
1,20,0,1
1,20,2594,1
1,20,5413678,2086
1,20,163058840,62861
1,20,2594,1
1,21,20752,7
1,21,0,1
1,21,10376,3
1,21,2594,1
1,21,2594,1
1,21,2594,1
1,21,5875410,2265
1,21,160218410,61764
1,21,0,1
1,22,20752,7
1,22,2594,0
1,22,7782,3
1,22,2594,1
1,22,2594,1
1,22,2594,2
1,22,5507062,2122
1,22,158472648,61093
1,22,0,1
1,23,20752,7
1,23,2594,1
1,23,10376,4
1,23,2594,1
1,23,2594,1
1,23,2594,2
1,23,5826124,2245
1,23,159759272,61588
1,23,2594,1
1,24,15564,7
1,24,2594,1
1,24,10376,3
1,24,2594,1
1,24,2594,0
1,24,5188,1
