
cycles_enc,16,32,64,128,256,512,1024
16,19992,21840,23351,30144,43765,68838,119226
24,18322,20839,25808,35940,48820,79201,129141
32,17812,19136,23483,29030,45238,77933,127674

cycles_dec,16,32,64,128,256,512,1024
16,16651,20310,21249,29639,40748,66648,119149
24,16373,18322,25850,35559,46386,77656,127277
32,16967,17734,21396,27822,42467,74048,125981

usec_enc,16,32,64,128,256,512,1024
16,6,7,8,11,16,26,45
24,6,7,9,13,18,30,50
32,6,7,8,11,17,29,49

usec_dec,16,32,64,128,256,512,1024
16,6,7,8,11,15,25,46
24,6,7,9,13,18,30,49
32,6,6,8,10,16,29,49
