
cycles_enc,16,32,64,128,256,512,1024
16,22993,26326,38035,67855,121671,185125,389730
24,28597,37112,49693,67824,116663,231875,444382
32,27379,32423,43916,85035,157124,261045,487251

cycles_dec,16,32,64,128,256,512,1024
16,23307,28390,43517,66121,116479,213469,435155
24,33408,38317,49867,75727,131842,254384,495043
32,26415,33016,47443,96023,174125,292914,552075

usec_enc,16,32,64,128,256,512,1024
16,8,9,14,25,47,71,151
24,11,13,18,26,45,89,173
32,10,12,16,33,60,100,191

usec_dec,16,32,64,128,256,512,1024
16,8,10,17,25,45,83,172
24,12,14,19,29,51,99,199
32,10,12,18,37,68,115,218
